rank,bin_index,mz,score,pcc_class_1,pcc_class_2
1,63056,143.1068878173828,1.121967077255249,0.03816729058020344,-0.03816729058020344
2,78071,400.17730712890625,1.0746961832046509,-0.015695183647779505,0.015695183647779505
3,82578,713.595703125,1.0101741552352905,0.29682448014558205,-0.29682448014558205
4,82591,714.5986938476562,0.991902232170105,0.16923637911806913,-0.16923637911806913
5,82499,707.8431396484375,0.9823053479194641,-0.015758380574809903,0.015758380574809903
6,81337,583.17822265625,0.9535606503486633,-0.02177946172074512,0.02177946172074512
7,78239,404.1200866699219,0.9439535140991211,0.544076292292619,-0.544076292292619
8,82756,734.3152465820312,0.9289339780807495,0.46260924692638566,-0.46260924692638566
9,81320,581.8727416992188,0.9217187166213989,-0.17210254469146974,0.17210254469146974
10,80990,553.9702758789062,0.9153995513916016,-0.16407478668967038,0.16407478668967038
11,82199,667.1356811523438,0.9076449871063232,0.08700995660618108,-0.08700995660618108
12,82759,734.8155517578125,0.9066739082336426,0.4528869196180897,-0.4528869196180897
13,76889,367.2341003417969,0.8968319892883301,0.5430846503380924,-0.5430846503380924
14,82301,682.7380981445312,0.8944632411003113,-0.015695183647779505,0.015695183647779505
15,35966,126.27366638183594,0.8880071043968201,0.005162831014449431,-0.005162831014449431
16,80649,528.939697265625,0.8830932378768921,-0.2954178171671416,0.2954178171671416
17,82620,717.9004516601562,0.8781536817550659,-0.1650310420110729,0.1650310420110729
18,82260,678.0840454101562,0.8770880103111267,-0.09086038260117285,0.09086038260117285
19,81489,597.8589477539062,0.8732705116271973,-0.26464285581826835,0.26464285581826835
20,81931,635.2267456054688,0.8722673654556274,0.42544675036897933,-0.42544675036897933
21,82257,676.54638671875,0.8721263408660889,-0.01687008823905588,0.01687008823905588
22,42618,128.57443237304688,0.868381142616272,-0.010378754517945829,0.010378754517945829
23,79941,481.9351501464844,0.8676267862319946,-0.14911548179576112,0.14911548179576112
24,82757,734.4810791015625,0.8653055429458618,0.05168754806582097,-0.05168754806582097
25,5924,117.20777893066406,0.8618617057800293,-0.025630749285819224,0.025630749285819224
26,57362,136.67433166503906,0.8590586185455322,-0.06948703775898081,0.06948703775898081
27,82175,664.0567016601562,0.8587643504142761,0.02537388023057694,-0.02537388023057694
28,81087,562.0405883789062,0.8583267331123352,-0.015695183647779512,0.015695183647779512
29,80898,547.1770629882812,0.8581948280334473,0.13101298848110457,-0.13101298848110457
30,81100,563.0076293945312,0.8577548861503601,-0.2108216460381127,0.2108216460381127
31,82755,734.2393188476562,0.855927586555481,0.6699131264278153,-0.6699131264278153
32,79360,447.00299072265625,0.8551855683326721,-0.029165656260333305,0.029165656260333305
33,81829,622.945068359375,0.8539105653762817,-0.19328526086488215,0.19328526086488215
34,82346,687.9827270507812,0.8478104472160339,-0.37017262169444265,0.37017262169444265
35,69316,178.3593292236328,0.8466500043869019,0.4521525438277575,-0.4521525438277575
36,77054,370.0123596191406,0.8464841842651367,0.3850224200097251,-0.3850224200097251
37,79029,428.6956787109375,0.8441337943077087,-0.020649503397931812,0.020649503397931812
38,1911,115.50975799560547,0.8432320952415466,-0.010318169757382742,0.010318169757382742
39,82575,713.2110595703125,0.8409402966499329,0.49430573930421123,-0.49430573930421123
40,79274,442.09686279296875,0.8403303623199463,0.042923225657930136,-0.042923225657930136
41,33241,125.41230773925781,0.8387474417686462,-0.01310671733788011,0.01310671733788011
42,81416,588.8771362304688,0.8378034830093384,-0.32351157420419047,0.32351157420419047
43,73925,232.4756622314453,0.8366678953170776,-0.5244820552499954,0.5244820552499954
44,58943,137.9798126220703,0.8363063931465149,0.034720403645201035,-0.034720403645201035
45,75628,263.1471252441406,0.8351661562919617,0.33042907212092304,-0.33042907212092304
46,80352,506.16766357421875,0.8333922028541565,-0.030173683376380094,0.030173683376380094
47,79834,473.9853515625,0.8323309421539307,-0.07011950366902575,0.07011950366902575
48,69560,182.90597534179688,0.8318589329719543,0.39342916928534627,-0.39342916928534627
49,78736,420.11505126953125,0.831627607345581,0.1724815964033136,-0.1724815964033136
50,82345,687.9705200195312,0.8315403461456299,-0.3811490987084307,0.3811490987084307
