rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,78088,400.3420104980469,1.0,0,-0.6936634983069283,0.6936634983069283
2,78861,424.3421325683594,0.608766637406287,1,-0.7503520666344657,0.7503520666344657
3,79013,428.3732604980469,0.451685545514353,0,-0.7399279816904728,0.7399279816904728
4,78932,426.3575744628906,0.4784654657135455,1,-0.6929152678314677,0.6929152678314677
5,82486,706.5377807617188,0.37982709081203847,0,-0.8788562573279001,0.8788562573279001
6,82576,713.4511108398438,0.36669599869623754,1,0.7292708277860074,-0.7292708277860074
7,82063,651.5342407226562,0.3489477359377396,0,0.7163449612941023,-0.7163449612941023
8,78145,401.3455810546875,0.29888481825771684,1,-0.6878521165468416,0.6878521165468416
9,82380,694.5144653320312,0.28964451582555983,0,0.6565293331153214,-0.6565293331153214
10,82758,734.5697631835938,0.25492014454836176,1,0.7142665182830019,-0.7142665182830019
11,78453,409.0555419921875,0.2657934265504838,0,-0.03359931565494848,0.03359931565494848
12,77996,398.326416015625,0.21630035957012755,1,-0.6560930909859943,0.6560930909859943
13,80180,496.33990478515625,0.18862282479904588,0,0.6782606916166104,-0.6782606916166104
14,82775,735.5729370117188,0.18206252601278505,1,0.6893670068589174,-0.6893670068589174
15,82539,710.488525390625,0.18142186830981316,0,0.6786840927622485,-0.6786840927622485
16,82589,714.4548950195312,0.1806382381018731,1,0.7299016981239156,-0.7299016981239156
17,82325,685.42041015625,0.17737284891598762,0,-0.9071047035959344,0.9071047035959344
18,79062,429.3766174316406,0.17080644642114726,1,-0.7412200621215088,0.7412200621215088
19,78898,425.3453369140625,0.1576324527350967,0,-0.7536468698743383,0.7536468698743383
20,82079,652.5381469726562,0.1568998864760071,0,0.7205053282947359,-0.7205053282947359
21,80295,503.94818115234375,0.16752379895496414,1,-0.6963589360822644,0.6963589360822644
22,61508,141.1545867919922,0.15334252434135387,0,0.04504813579225025,-0.04504813579225025
23,77129,372.31072998046875,0.1650344077818773,1,-0.6455686475345124,0.6455686475345124
24,82550,711.435302734375,0.14936513113230424,0,-0.884152277843485,0.884152277843485
25,78089,400.3472900390625,0.16245067278150477,1,-0.6695928156016738,0.6695928156016738
26,80536,522.3552856445312,0.14699351863417584,0,0.6579333848034254,-0.6579333848034254
27,78967,427.36090087890625,0.14501587441111782,1,-0.6921993986217354,0.6921993986217354
28,82739,732.5538940429688,0.14243796420583885,0,-0.8336660118022372,0.8336660118022372
29,80960,551.50341796875,0.12872563858362593,1,0.7803062090952111,-0.7803062090952111
30,82497,707.541015625,0.14012533065119728,0,-0.879376906203665,0.879376906203665
31,78836,423.98193359375,0.11512100123420747,1,0.14974710053351342,-0.14974710053351342
32,81245,575.5029907226562,0.13654010382467976,0,-0.8614270424850917,0.8614270424850917
33,76863,366.9617614746094,0.11509626868896913,1,-0.21970105182747954,0.21970105182747954
34,79889,478.3293762207031,0.1268506639111004,0,0.7096832798277096,-0.7096832798277096
35,71975,200.17294311523438,0.09796209454663979,1,-0.6894138670584179,0.6894138670584179
36,79926,480.9211120605469,0.11922685704301203,0,-0.8432982279882248,0.8432982279882248
37,80313,504.3448791503906,0.10914450346138123,1,0.6955323627088964,-0.6955323627088964
38,82392,695.5178833007812,0.11856716244456388,0,0.6810521582261231,-0.6810521582261231
39,82651,723.4937744140625,0.09692811096027104,1,0.7527922368432037,-0.7527922368432037
40,80053,487.9745178222656,0.11362228358316975,0,-0.6212484921948426,0.6212484921948426
41,82420,697.4774780273438,0.09127229277390998,1,0.7340450993583844,-0.7340450993583844
42,80794,542.0684204101562,0.11278847145872035,0,0.10653621109601584,-0.10653621109601584
43,77546,385.2737731933594,0.09785668775702659,1,0.565823247908672,-0.565823247908672
44,80589,525.9302368164062,0.09317483641467082,0,-0.627110877291982,0.627110877291982
45,80789,541.904296875,0.08276813089712229,1,-0.7068474249811081,0.7068474249811081
46,80608,527.0701293945312,0.08988234170658455,0,-0.6923055321014528,0.6923055321014528
47,81268,577.518798828125,0.08721240943239181,0,0.7946881070376218,-0.7946881070376218
48,72879,213.1809844970703,0.06786986044204121,1,-0.691657068818811,0.691657068818811
49,79668,465.0216979980469,0.08508493284892324,0,-0.47601765747239566,0.47601765747239566
50,78045,399.3296203613281,0.06641746352920308,1,-0.6617043727891653,0.6617043727891653
