rank,bin_index,mz,score,source_component,pcc_class_0,pcc_class_1,pcc_class_2
1,386,421.3146057128906,1.0,0,-0.07468166062679944,-0.1349996023691698,0.24600363338316675
2,219,325.1960144042969,1.0,1,0.863885334395062,-0.6062138184964029,-0.3523630395233756
3,146,283.264892578125,0.49785108310671816,2,0.8292886021227007,-0.5703121773962047,-0.3516209562010992
4,255,346.0585632324219,0.30293723215080465,0,0.22256450272063885,-0.13614824480924195,-0.11381932806714107
5,3,201.05221557617188,0.6998435838119549,1,0.5042186285700014,-0.3773238926198033,-0.1786347308126249
6,194,311.2024230957031,0.4880140497862732,2,0.7248677218573766,-0.485394422241347,-0.32242009905749147
7,462,465.2990417480469,0.2011043796433804,0,-0.30120964434928665,0.13316623908150568,0.21280023384332836
8,1193,885.5479736328125,0.5832292996171028,1,-0.8227036293201068,0.6237401348808727,0.28217100592532124
9,948,744.5546264648438,0.28644904308928676,2,-0.7949682486397815,0.6534031931661906,0.21435689587712395
10,461,464.34271240234375,0.19614221398790635,0,-0.22046853345182793,-0.0563600107821729,0.3326835189227184
11,142,281.2275695800781,0.49947547729206554,1,-0.43349604911994777,0.46752830036598286,-0.011038175486361561
12,10,205.13299560546875,0.22115783098814196,2,0.40884680272653046,-0.2754740404893984,-0.1799023878815315
13,288,365.3104248046875,0.1908228250334222,0,-0.30805959653941134,0.021973889087424373,0.34900904679670725
14,139,279.2406921386719,0.37722535763667303,1,-0.6349074326344434,0.631440270864453,0.045148759345713836
15,1195,886.5545043945312,0.20752525455491208,2,-0.8211217401641132,0.6244305132898412,0.27945503475475997
16,849,687.5478515625,0.1858848004199615,0,-0.40528078330378176,0.036151014003849236,0.4508238823562405
17,243,339.22589111328125,0.26135104233141887,1,0.8625142514274315,-0.6098503147458524,-0.346514753838214
18,220,326.16900634765625,0.19989431485128845,2,0.8576393498731786,-0.6013960653047642,-0.350315451703229
19,840,682.58935546875,0.16991361900557622,0,-0.23464190703632654,-0.03647854048066135,0.3270372898372593
20,986,766.5349731445312,0.1552800268559881,1,-0.6735902528563792,0.36834239097651067,0.39474548882697014
21,342,396.1517028808594,0.1751947046009472,2,0.7511650220244442,-0.5036333922795803,-0.333393130691528
22,777,646.567138671875,0.13419498210214256,0,-0.22757459674968025,2.1743149539698195e-05,0.27647044708977614
23,196,312.1770324707031,0.146996034753244,1,0.8587342322378653,-0.6038351124808371,-0.34884046025772064
24,97,255.2320556640625,0.16195805945471364,2,0.8264788242419358,-0.5486664946372135,-0.37310265525490927
25,778,646.6528930664062,0.1258342374646363,0,-0.22816895778211083,0.00012204693775574358,0.2770772126625587
26,144,282.2485656738281,0.1401900858859817,1,-0.49125286167398036,0.49881666058390656,0.023148525317072476
27,366,410.15045166015625,0.14327685844044596,2,0.7331255439413009,-0.48826903567412516,-0.32914687708980417
28,152,286.95404052734375,0.11586545956231781,0,-0.05781262829861603,0.05748822541415515,0.0041211003964294855
29,1024,788.541015625,0.13026236937619656,1,-0.7963667077712875,0.5300528383952823,0.35792569074208364
30,958,750.5371704101562,0.11790710728369375,2,-0.8168757710521645,0.5271396772347821,0.38619404271817964
31,117,266.79632568359375,0.09961480966599247,0,0.11785755966294072,-0.24085347184944134,0.13382135097725664
32,36,220.14834594726562,0.10120597993093666,1,0.44997327413171423,-0.3031774903441091,-0.198006920797988
33,950,745.5685424804688,0.0987324107308794,2,-0.7924414521141598,0.6613125249095094,0.20219011424006456
34,387,422.3010559082031,0.09933014011351539,0,-0.11480209526275868,-0.105376981590918,0.26067855753245
35,944,742.5349731445312,0.09791650047862158,1,-0.7507061697007285,0.6985859710679988,0.10861361311275396
36,1036,795.5226440429688,0.09683119288335708,2,-0.6540234984559359,0.3790997667394866,0.3586000947879646
37,850,688.5309448242188,0.09520483026983154,0,-0.4232868079400555,0.06255248241923014,0.44233530878402755
38,172,298.1697998046875,0.08913258980801957,1,0.8479856469510455,-0.5955685593738195,-0.34528895426021067
39,949,745.4909057617188,0.09666752326054588,2,-0.7924912291359223,0.6611766207937639,0.20240689989134933
40,920,728.5548706054688,0.09355196448946529,0,-0.5782040190326382,0.35242501322203645,0.2971615870323801
41,993,770.55810546875,0.08600170675122315,1,-0.7847409581971649,0.6494333045476298,0.20649699594888032
42,910,722.5645751953125,0.09153790666569113,2,-0.814751924718914,0.611111351010939,0.2870347752916414
43,805,662.548828125,0.08973111914023407,0,-0.0759079409880366,-0.116040618593932,0.22568810817280033
44,159,291.02008056640625,0.08507150240640289,1,0.31066611555021856,-0.2036895379007829,-0.14317812491225043
45,182,304.2160339355469,0.0861407811094781,2,-0.7452414076508761,0.5416393462315128,0.28248411386558214
46,842,683.600341796875,0.0890280009013289,0,-0.22331689674049568,-0.045771706118636304,0.3239661911919019
47,184,305.2488708496094,0.08463045595352053,1,-0.6927655896435334,0.6160228742196493,0.13317657419642012
48,629,561.458740234375,0.07755823113842361,2,0.5388746388624006,-0.35233972659435486,-0.2494758086881127
49,412,436.291015625,0.08896513682045401,0,-0.32624420057141934,0.03597960524446279,0.35499424515609335
50,988,767.5430908203125,0.07526747134918102,1,-0.6647921506560874,0.363252102623432,0.38991061672655364
51,114,265.1258239746094,0.07224117969766364,2,0.5582959021385437,-0.3769177796116229,-0.2448038784450875
52,316,381.300048828125,0.08450686940297125,0,-0.1455650349177902,-0.12434821678466614,0.31987399626431146
53,1196,887.5460815429688,0.07417988692565411,1,-0.7138796995554891,0.6910319643810539,0.07255883164434344
54,99,256.2455749511719,0.07105805042926935,2,0.7980153208350673,-0.5274331523500386,-0.3629416958546342
55,1150,860.626708984375,0.08391920186793955,0,-0.24730978370275053,0.04333203149795582,0.2506353006606275
56,229,331.2527770996094,0.07090953055201021,1,-0.6600131618823071,0.4876341665778303,0.24104798630590502
57,873,701.5206909179688,0.06905063591331087,2,-0.7709248044680861,0.49527727811261685,0.36701126928622313
58,185,306.0505065917969,0.0734656675671406,0,0.03596272151755143,0.046536734151660514,-0.09721707775192301
59,586,536.500732421875,0.0666173794471921,1,-0.2887817286068715,0.0487165201824053,0.2948294184769328
60,147,284.24432373046875,0.06314111028452045,2,0.8111953897525723,-0.5573997271857307,-0.34448939083276775
61,1212,896.5917358398438,0.06955558467205089,0,-0.12850400956666236,-0.1127249289784993,0.2857770616264096
62,226,329.26092529296875,0.06540077493485429,1,-0.7428442469552631,0.5700539553427291,0.24689097261233037
