rank,bin_index,mz,score,pcc_class_1,pcc_class_2
612,62808,142.69625854492188,1.2813856601715088,0.31027491599697865,-0.31027491599697865
613,43832,129.07534790039062,1.2811896800994873,-0.00347581980056241,0.00347581980056241
614,17602,120.6561279296875,1.2810494899749756,-0.009741428729303106,0.009741428729303106
615,57993,137.07571411132812,1.2808709144592285,0.0030591157955558246,-0.0030591157955558246
616,10880,118.73506927490234,1.2808319330215454,-0.012603323225915588,0.012603323225915588
617,34430,125.78227233886719,1.2807624340057373,-0.007083384678058147,0.007083384678058147
618,6297,117.33699798583984,1.2805372476577759,-0.012226631599390476,0.012226631599390476
619,45878,129.9394073486328,1.2803783416748047,0.012192610992161375,-0.012192610992161375
620,40639,127.83667755126953,1.2802654504776,-0.008206259176240412,0.008206259176240412
621,12594,119.21823120117188,1.2801978588104248,-2.6753206953118762e-05,2.6753206953118762e-05
622,82066,651.8043823242188,1.2800328731536865,0.07607392505466716,-0.07607392505466716
623,81031,558.2354736328125,1.279846429824829,0.1467310359246989,-0.1467310359246989
624,80963,551.66552734375,1.279740810394287,0.10133169122173062,-0.10133169122173062
625,79108,432.08172607421875,1.2797398567199707,-0.3499625014636919,0.3499625014636919
626,69543,182.7735137939453,1.279563307762146,0.0437443011951691,-0.0437443011951691
627,81331,582.8694458007812,1.279534101486206,-0.6014438741923361,0.6014438741923361
628,81400,587.2343139648438,1.278609275817871,0.44242799801910243,-0.44242799801910243
629,39016,127.27600860595703,1.2783012390136719,0.007896266546440656,-0.007896266546440656
630,82230,672.4586181640625,1.2779604196548462,0.05889457507158429,-0.05889457507158429
631,61257,140.88743591308594,1.2778490781784058,0.05493808980914709,-0.05493808980914709
632,78230,404.03692626953125,1.2774696350097656,0.02783924017446355,-0.02783924017446355
633,51852,132.89939880371094,1.2774372100830078,0.025273514529349263,-0.025273514529349263
634,52836,133.48150634765625,1.2774344682693481,-0.028407723573686934,0.028407723573686934
635,79174,436.8578186035156,1.277404546737671,-0.24235552482000675,0.24235552482000675
636,18927,121.0402603149414,1.2773213386535645,0.015073425238680294,-0.015073425238680294
637,72425,205.0797576904297,1.2772510051727295,-0.04416059460410631,0.04416059460410631
638,78008,398.91009521484375,1.277158260345459,-0.3896195919216977,0.3896195919216977
639,58683,137.71932983398438,1.2770302295684814,0.016076502175081404,-0.016076502175081404
640,24173,122.64949035644531,1.2770278453826904,0.011724083181873861,-0.011724083181873861
641,36014,126.2894287109375,1.2769758701324463,-0.030068484077905397,0.030068484077905397
642,75116,244.8153839111328,1.2769564390182495,0.025380735700341075,-0.025380735700341075
643,84714,989.2378540039062,1.27675199508667,-0.05154335374756613,0.05154335374756613
644,59020,138.06744384765625,1.2766108512878418,0.00916724140288712,-0.00916724140288712
645,82333,686.09814453125,1.2765133380889893,0.04933615196999078,-0.04933615196999078
646,25323,123.00703430175781,1.2763216495513916,-0.023880641350342142,0.023880641350342142
647,53614,133.9564666748047,1.2761681079864502,-0.04964597195554118,0.04964597195554118
648,17896,120.74082946777344,1.2760581970214844,0.01614846841675503,-0.01614846841675503
649,82684,726.5127563476562,1.2759714126586914,0.743468002043821,-0.743468002043821
650,81641,610.3264770507812,1.275926113128662,-0.04726340564136482,0.04726340564136482
651,82766,735.198486328125,1.275890827178955,0.02537388023057694,-0.02537388023057694
652,80980,552.9564819335938,1.2757518291473389,-0.49579217824073596,0.49579217824073596
653,5325,117.0079116821289,1.2757256031036377,0.009458041735638927,-0.009458041735638927
654,80816,543.0716552734375,1.2757221460342407,0.08269272065130617,-0.08269272065130617
655,36689,126.52386474609375,1.275686502456665,-0.01055645163075775,0.01055645163075775
656,76638,346.04681396484375,1.2752764225006104,-0.19593703962753176,0.19593703962753176
657,78879,425.01690673828125,1.275160551071167,-0.02371939746396345,0.02371939746396345
658,42803,128.6458740234375,1.2751306295394897,-0.0057822632531423735,0.0057822632531423735
659,40458,127.7711181640625,1.2750533819198608,0.023481034238464576,-0.023481034238464576
660,3420,116.24108123779297,1.2746702432632446,0.006899306172162045,-0.006899306172162045
661,73429,224.1063232421875,1.274587869644165,-0.019485426312191762,0.019485426312191762
662,76720,355.76416015625,1.2738631963729858,0.24990734457556157,-0.24990734457556157
663,79335,445.2883605957031,1.2737301588058472,0.06964553160401282,-0.06964553160401282
664,68566,168.09939575195312,1.273695945739746,-0.04248597101471051,0.04248597101471051
665,75908,275.0552062988281,1.273407220840454,0.013865953595649742,-0.013865953595649742
