beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,19,257,-238,238,False
2.45,19,257,-238,238,False
2.4,19,257,-238,238,False
2.35,20,257,-237,237,False
2.3,21,257,-236,236,False
2.25,21,257,-236,236,False
2.2,21,257,-236,236,False
2.15,23,257,-234,234,False
2.1,23,257,-234,234,False
2.05,24,257,-233,233,False
2.0,26,257,-231,231,False
1.95,26,257,-231,231,False
1.9,28,257,-229,229,False
1.85,28,257,-229,229,False
1.8,28,257,-229,229,False
1.75,31,257,-226,226,False
1.7,33,257,-224,224,False
1.65,33,257,-224,224,False
1.6,33,257,-224,224,False
1.55,36,257,-221,221,False
1.5,40,257,-217,217,False
1.45,41,257,-216,216,False
1.4,42,257,-215,215,False
1.35,43,257,-214,214,False
1.3,46,257,-211,211,False
1.25,48,257,-209,209,False
1.2,50,257,-207,207,False
1.15,53,257,-204,204,False
1.1,55,257,-202,202,False
1.05,59,257,-198,198,False
1.0,66,257,-191,191,False
0.95,71,257,-186,186,False
0.9,71,257,-186,186,False
0.85,74,257,-183,183,False
0.8,81,257,-176,176,False
0.75,85,257,-172,172,False
0.7,91,257,-166,166,False
0.65,92,257,-165,165,False
0.6,98,257,-159,159,False
0.55,104,257,-153,153,False
0.5,112,257,-145,145,False
0.45,122,257,-135,135,False
0.4,131,257,-126,126,False
0.35,148,257,-109,109,False
0.3,163,257,-94,94,False
0.25,188,257,-69,69,False
0.2,232,257,-25,25,True
0.15,283,257,26,26,True
0.1,389,257,132,132,False
0.05,509,257,252,252,False
0.0,548,257,291,291,False
