beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,15,238,-223,223,False
2.45,15,238,-223,223,False
2.4,15,238,-223,223,False
2.35,16,238,-222,222,False
2.3,16,238,-222,222,False
2.25,17,238,-221,221,False
2.2,17,238,-221,221,False
2.15,19,238,-219,219,False
2.1,19,238,-219,219,False
2.05,19,238,-219,219,False
2.0,20,238,-218,218,False
1.95,21,238,-217,217,False
1.9,22,238,-216,216,False
1.85,23,238,-215,215,False
1.8,24,238,-214,214,False
1.75,25,238,-213,213,False
1.7,26,238,-212,212,False
1.65,26,238,-212,212,False
1.6,26,238,-212,212,False
1.55,28,238,-210,210,False
1.5,29,238,-209,209,False
1.45,32,238,-206,206,False
1.4,33,238,-205,205,False
1.35,34,238,-204,204,False
1.3,36,238,-202,202,False
1.25,40,238,-198,198,False
1.2,40,238,-198,198,False
1.15,43,238,-195,195,False
1.1,48,238,-190,190,False
1.05,54,238,-184,184,False
1.0,55,238,-183,183,False
0.95,57,238,-181,181,False
0.9,61,238,-177,177,False
0.85,62,238,-176,176,False
0.8,70,238,-168,168,False
0.75,75,238,-163,163,False
0.7,78,238,-160,160,False
0.65,83,238,-155,155,False
0.6,95,238,-143,143,False
0.55,102,238,-136,136,False
0.5,109,238,-129,129,False
0.45,122,238,-116,116,False
0.4,141,238,-97,97,False
0.35,152,238,-86,86,False
0.3,176,238,-62,62,False
0.25,200,238,-38,38,True
0.2,245,238,7,7,True
0.15,298,238,60,60,False
0.1,355,238,117,117,False
0.05,449,238,211,211,False
0.0,521,238,283,283,False
