beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,23,137,-114,114,False
2.45,24,137,-113,113,False
2.4,25,137,-112,112,False
2.35,26,137,-111,111,False
2.3,26,137,-111,111,False
2.25,28,137,-109,109,False
2.2,29,137,-108,108,False
2.15,29,137,-108,108,False
2.1,29,137,-108,108,False
2.05,29,137,-108,108,False
2.0,29,137,-108,108,False
1.95,29,137,-108,108,False
1.9,31,137,-106,106,False
1.85,32,137,-105,105,False
1.8,34,137,-103,103,False
1.75,37,137,-100,100,False
1.7,40,137,-97,97,False
1.65,41,137,-96,96,False
1.6,41,137,-96,96,False
1.55,42,137,-95,95,False
1.5,43,137,-94,94,False
1.45,45,137,-92,92,False
1.4,47,137,-90,90,False
1.35,48,137,-89,89,False
1.3,51,137,-86,86,False
1.25,52,137,-85,85,False
1.2,55,137,-82,82,False
1.15,57,137,-80,80,False
1.1,60,137,-77,77,False
1.05,64,137,-73,73,False
1.0,68,137,-69,69,False
0.95,72,137,-65,65,False
0.9,75,137,-62,62,False
0.85,82,137,-55,55,False
0.8,87,137,-50,50,True
0.75,94,137,-43,43,True
0.7,106,137,-31,31,True
0.65,123,137,-14,14,True
0.6,133,137,-4,4,True
0.55,151,137,14,14,True
0.5,167,137,30,30,True
0.45,197,137,60,60,False
0.4,235,137,98,98,False
0.35,266,137,129,129,False
0.3,307,137,170,170,False
0.25,342,137,205,205,False
0.2,399,137,262,262,False
0.15,446,137,309,309,False
0.1,494,137,357,357,False
0.05,513,137,376,376,False
0.0,524,137,387,387,False
