rank,bin_index,mz,score,pcc_class_1,pcc_class_2
1,82150,660.50390625,2.6877472400665283,0.006380847838049587,-0.006380847838049587
2,80893,547.0155029296875,2.1493215560913086,-0.5646477529763095,0.5646477529763095
3,80682,531.0415649414062,2.0994720458984375,-0.5350448620816839,0.5350448620816839
4,80391,509.059814453125,2.0096395015716553,-0.7486361935662457,0.7486361935662457
5,80127,493.0856628417969,2.007627248764038,-0.5324895648059472,0.5324895648059471
6,82456,703.86474609375,1.9874298572540283,-0.09805492857526747,0.09805492857526747
7,82269,679.5094604492188,1.9753711223602295,-0.2888389606377058,0.2888389606377058
8,78045,399.3296203613281,1.9474971294403076,-0.6564880931365242,0.6564880931365242
9,79505,453.3766784667969,1.919957160949707,-0.37487717197476633,0.37487717197476633
10,79793,471.103759765625,1.8954511880874634,-0.3732951179378758,0.3732951179378758
11,80730,536.3578491210938,1.8887908458709717,-0.5013885255924414,0.5013885255924414
12,82475,705.5257568359375,1.8807940483093262,-0.3342442158416591,0.3342442158416591
13,80924,549.0315551757812,1.8669381141662598,-0.415296495538795,0.415296495538795
14,81125,564.3896484375,1.8636436462402344,-0.22617171406629502,0.22617171406629502
15,80951,551.0818481445312,1.8612678050994873,-0.5111118412641447,0.5111118412641447
16,77968,397.9885559082031,1.8316514492034912,-0.8484640405793739,0.8484640405793739
17,79336,445.3717041015625,1.8312890529632568,-0.36616500934697066,0.36616500934697066
18,82727,731.5413208007812,1.8285733461380005,-0.34317848866725487,0.34317848866725487
19,79817,472.3421325683594,1.8279290199279785,-0.4899235235851139,0.4899235235851139
20,82442,701.9269409179688,1.822983741760254,-0.3506521141945477,0.3506521141945477
21,82205,668.0269775390625,1.8165520429611206,-0.5913075522639409,0.5913075522639409
22,77130,372.3149719238281,1.809262752532959,-0.16364527711423837,0.1636452771142384
23,82451,703.204833984375,1.8054285049438477,-0.05522063524311662,0.055220635243116614
24,78860,424.3379211425781,1.8042062520980835,-0.36021737976077856,0.36021737976077856
25,79537,455.3921813964844,1.802642583847046,-0.5070498376808392,0.5070498376808392
26,80990,553.9702758789062,1.8016817569732666,0.006380847838049485,-0.006380847838049484
27,79014,428.3793029785156,1.7899000644683838,-0.7929274286436098,0.7929274286436098
28,82639,721.9563598632812,1.7477911710739136,-0.6913099286319191,0.691309928631919
29,82275,680.4417114257812,1.74769926071167,-0.7964505284406903,0.7964505284406903
30,82093,654.4255981445312,1.7461868524551392,-0.6672704728190995,0.6672704728190995
31,81200,569.9443969726562,1.7456324100494385,-0.13903793278945484,0.1390379327894548
32,81366,584.9180297851562,1.7455716133117676,-0.3046305639813436,0.3046305639813436
33,82339,686.5669555664062,1.7453317642211914,-0.5791226777477094,0.5791226777477094
34,76626,342.7150573730469,1.7443715333938599,-0.8280766402912375,0.8280766402912375
35,79771,469.3117980957031,1.7436153888702393,-0.5754851640336175,0.5754851640336175
36,82303,682.7676391601562,1.7417147159576416,-0.1054867562607802,0.1054867562607802
37,82480,706.22509765625,1.7379419803619385,-0.2050089643846207,0.2050089643846207
38,82369,692.5579833984375,1.7311904430389404,-0.21087752554112257,0.21087752554112257
39,82341,687.091796875,1.7296347618103027,-0.32485365944200095,0.32485365944200095
40,79788,470.84185791015625,1.7292637825012207,-0.05267199479000222,0.05267199479000222
41,78635,414.3575439453125,1.7248740196228027,-0.6637682341549048,0.6637682341549048
42,82318,683.999755859375,1.7243075370788574,-0.8322834660054621,0.8322834660054621
43,82621,717.9125366210938,1.7219207286834717,-0.5581891901800785,0.5581891901800785
44,81962,638.9191284179688,1.7204750776290894,-0.13640509603170442,0.13640509603170442
45,79940,481.92425537109375,1.7195557355880737,-0.7858146150175525,0.7858146150175525
46,80511,520.8749389648438,1.7194123268127441,-0.7187257900577105,0.7187257900577105
47,70166,186.15599060058594,1.7191228866577148,-0.18904847021072152,0.18904847021072152
48,79318,444.3683166503906,1.7175531387329102,-0.761262327118683,0.761262327118683
49,82259,677.9200439453125,1.7161803245544434,-0.726650114015533,0.726650114015533
50,81617,607.882080078125,1.7159366607666016,-0.6099766722495645,0.6099766722495645
