rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
561,80891,546.9620971679688,0.02792579166494767,0,-0.8075043342107663,0.8075043342107663
562,81991,642.3533325195312,0.030987493430473037,1,0.1343557710365744,-0.1343557710365744
563,81033,558.29541015625,0.02789663947290556,0,-0.19345704533780422,0.19345704533780422
564,78758,421.052978515625,0.030939849563751013,1,-0.21599344818700666,0.21599344818700666
565,81283,578.51318359375,0.030596014337455263,0,0.38262158626412757,-0.38262158626412757
566,79655,464.0810546875,0.03088302813950498,1,0.4118239286849643,-0.4118239286849643
567,77297,378.0714416503906,0.027656836322393352,0,-0.6995023427493772,0.6995023427493772
568,82692,727.4667358398438,0.030855106092409226,1,0.2093808491799232,-0.2093808491799232
569,80223,499.0270080566406,0.029877094632462846,0,-0.253104029810555,0.253104029810555
570,80486,518.3003540039062,0.030855024323759247,1,0.36883855609346183,-0.36883855609346183
571,82586,714.2081909179688,0.02741922520892267,0,0.18845528925737398,-0.18845528925737398
572,74198,237.82395935058594,0.03073302744486083,1,0.7528261372148426,-0.7528261372148426
573,81735,616.90869140625,0.0273590740653078,0,0.033510615603981615,-0.033510615603981615
574,76889,367.2341003417969,0.030574201576636633,1,0.577872264432319,-0.577872264432319
575,76705,353.77423095703125,0.027326000280986206,0,-0.8025580573783313,0.8025580573783313
576,81265,577.3536987304688,0.03045697453565375,1,0.27595521549565516,-0.27595521549565516
577,80936,550.1737670898438,0.027324501966650018,0,0.3283464741739855,-0.3283464741739855
578,72794,211.9945068359375,0.03044342819597363,1,0.2756698301550972,-0.2756698301550972
579,81146,566.029541015625,0.027197208601745945,0,-0.6991632151817992,0.6991632151817992
580,75455,251.9768524169922,0.03041213027175725,1,-0.8163316642504725,0.8163316642504725
581,80603,526.9338989257812,0.029284741116404667,0,-0.7094729157304732,0.7094729157304732
582,80182,496.3479919433594,0.03033322741827122,1,0.5274167594539854,-0.5274167594539854
583,78195,402.9527893066406,0.02686754777094921,0,-0.8252072747137429,0.8252072747137429
584,80989,553.9508666992188,0.030240583537843216,1,-0.10737709102592234,0.10737709102592234
585,81815,621.8612060546875,0.026631232240065205,0,-0.6491446767762779,0.6491446767762779
586,73272,219.98904418945312,0.029793585478361244,1,0.27215404777665614,-0.27215404777665614
587,79874,477.99127197265625,0.026528312616513738,0,-0.8116795023647546,0.8116795023647546
588,80333,505.1737365722656,0.029641149246071242,1,0.1075012250037042,-0.1075012250037042
589,82219,670.4501342773438,0.026494079459999657,0,-0.7209688907903392,0.7209688907903392
590,77784,392.0871887207031,0.02944563845709504,1,0.2944043642041764,-0.2944043642041764
591,81527,600.973388671875,0.026442132616872574,0,0.15112434191776328,-0.15112434191776328
592,77574,386.1093444824219,0.029283485383565677,1,-0.755792818704444,0.755792818704444
593,82275,680.4417114257812,0.02640630928319831,0,-0.6396074031138462,0.6396074031138462
594,80383,508.3394470214844,0.029160766214925766,1,0.038694342607772644,-0.038694342607772644
595,81618,607.8950805664062,0.026393432649421154,0,-0.754553960488114,0.754553960488114
596,42875,128.677734375,0.02912825344219539,1,0.30368492355567184,-0.30368492355567184
597,80625,527.2958374023438,0.026361122276843788,0,0.4219710724550409,-0.4219710724550409
598,78756,421.0317687988281,0.029097294273814644,1,-0.6687808803984181,0.6687808803984181
599,80121,492.3448791503906,0.02633950442021102,0,-0.023971186877743616,0.023971186877743616
600,80834,544.0238037109375,0.02903876544228211,1,0.304393290439905,-0.304393290439905
601,82109,656.368408203125,0.026313972890507725,0,0.26795733832089585,-0.26795733832089585
602,80544,523.0260620117188,0.029027502784183593,1,0.21384611437628148,-0.21384611437628148
603,80926,549.2261962890625,0.026303394411172222,0,0.208144273674392,-0.208144273674392
604,78369,407.9447326660156,0.028763643138186714,1,0.02633494579999349,-0.02633494579999349
605,80296,503.9565124511719,0.026213907349867255,0,-0.74650693737434,0.74650693737434
606,80012,485.14227294921875,0.02875302489492495,1,-0.08418076151932415,0.08418076151932415
607,77075,370.35491943359375,0.026064585913306026,0,0.7916337447694216,-0.7916337447694216
608,78439,408.9523010253906,0.028732553529340524,1,0.025377664174381764,-0.025377664174381764
609,80518,521.206298828125,0.02602710271343269,0,0.3136482691388956,-0.3136482691388956
610,76727,356.6833190917969,0.0286233359223105,1,0.37002163081708117,-0.37002163081708117
611,80856,545.0601806640625,0.02594916502648234,0,-0.2866088460332212,0.2866088460332212
612,78950,426.9835510253906,0.028592914090772484,1,0.2264750620426605,-0.2264750620426605
613,82355,689.3988037109375,0.025924815042756632,0,-0.17727588674893774,0.17727588674893774
614,81221,573.04296875,0.02838690381776425,1,-0.5820728211718046,0.5820728211718046
615,77670,389.0083312988281,0.02587044175400266,0,0.20777002313852952,-0.20777002313852952
616,80785,541.2516479492188,0.02835956972619931,1,0.37180974916384385,-0.37180974916384385
617,11474,118.9101791381836,0.025849778953971073,0,0.5723488633683446,-0.5723488633683446
618,79077,430.05230712890625,0.028285903960057274,1,-0.7687992678054691,0.7687992678054691
619,81963,638.993896484375,0.02582498866222691,0,-0.4620856697042131,0.4620856697042131
620,81068,560.96826171875,0.02827599048468344,1,-0.35099892172968145,0.35099892172968145
621,81449,591.9075317382812,0.025800041570145236,0,-0.7882182056861742,0.7882182056861742
622,79808,472.0621337890625,0.02821181377568439,1,-0.10339072518942224,0.10339072518942224
623,62805,142.68971252441406,0.025872387390395744,0,0.3935267393770837,-0.3935267393770837
624,77130,372.3149719238281,0.028099648603509827,1,0.11899299773270529,-0.11899299773270529
625,81255,576.571533203125,0.02689315411991888,0,0.4248619616054162,-0.4248619616054162
626,82462,704.0729370117188,0.0279311720877153,1,0.08598598329570235,-0.08598598329570235
627,82607,716.4264526367188,0.025714127655925297,0,0.21148626777288754,-0.21148626777288754
628,82229,672.42041015625,0.027828649775620596,1,0.10014590791153528,-0.10014590791153528
629,79869,477.3165283203125,0.02566010598004937,0,-0.8167271009817146,0.8167271009817146
630,27,105.99703216552734,0.027718752710046684,1,0.26933832308727934,-0.26933832308727934
631,76732,356.7699279785156,0.025544097941959398,0,0.34449950960860626,-0.34449950960860626
632,77742,391.03314208984375,0.027681871155160204,1,-0.18257397698978753,0.18257397698978753
633,82430,699.4837646484375,0.025458837700361055,0,0.8248695160759398,-0.8248695160759398
634,81682,614.91064453125,0.02767989507945234,1,-0.18217714141040242,0.18217714141040242
