rank,bin_index,mz,score,pcc_class_0,pcc_class_1,pcc_class_2
1,1439,1027.029541015625,1.7291547060012817,0.09281335293392151,-0.055325273198206175,-0.04005900996249994
2,1160,866.5195922851562,1.5132966041564941,-0.17591329818944404,0.23088556385661377,-0.060747545021443944
3,619,555.4240112304688,1.5123142004013062,0.012117865735367075,-0.01770202717026823,0.006133857226157342
4,244,339.80419921875,1.5020276308059692,0.04300123318850178,-0.025311424940639628,-0.018908085963197607
5,1258,922.9500732421875,1.4702478647232056,0.042216473076508186,-0.024163554266911795,-0.019306919940511796
6,1426,1019.5405883789062,1.4243167638778687,0.08149080943431089,-0.062297726274832696,-0.020291006405686148
7,395,426.6429138183594,1.4078385829925537,0.03975664152176051,-0.01939886262382165,-0.02182233073769838
8,987,767.0966796875,1.3671623468399048,0.03988471020201646,-0.0249540517855854,-0.01593584038604869
9,1017,784.4366455078125,1.3635544776916504,0.03536702717900084,-0.004841783865484664,-0.03287707341119767
10,197,312.7862243652344,1.3436932563781738,0.04581612517864472,-0.03417741475873913,-0.012327629389017776
11,1178,876.8944702148438,1.3169901371002197,0.027353491064630323,-0.01668838960475023,-0.01139041607994387
12,283,362.1349792480469,1.3165721893310547,0.05061286664973158,-0.03723536128614393,-0.014182509930422565
13,1183,879.750732421875,1.3107870817184448,0.030858534961069058,-0.018474032970460415,-0.013232565155634217
14,669,584.2344970703125,1.2904016971588135,0.03996664212147707,-0.02664406025178479,-0.014191368105340432
15,590,538.7001342773438,1.2859617471694946,0.05360167810083448,-0.042193484959297284,-0.012027598316082048
16,450,458.2601013183594,1.27913498878479,0.06398281170188383,-0.045362753902585956,-0.019782087341657074
17,221,326.59283447265625,1.274283766746521,0.07417131652989051,-0.050193726910997556,-0.025526805750480164
18,227,330.21142578125,1.2732274532318115,0.048932920710071624,-0.035086388457006276,-0.014701962561246305
19,240,337.337646484375,1.272039532661438,-0.2337166332470185,0.3739855240575635,-0.15362252579171037
20,972,758.542724609375,1.271775722503662,-0.18033542568742442,0.2539657769146314,-0.08101050504688893
21,133,275.97064208984375,1.2588578462600708,0.05714223688089737,-0.03631506746588198,-0.02221964533984357
22,1141,855.5761108398438,1.2568506002426147,-0.10954830686298311,0.1906418812707606,-0.08864936691856369
23,766,640.0130615234375,1.2568057775497437,0.05468101159366539,-0.03329113218379705,-0.022845717729846907
24,1041,798.2131958007812,1.2490953207015991,0.0314495529280352,-0.021668470407906076,-0.010405379861519274
25,371,412.8340148925781,1.24878990650177,0.03711905074060516,-0.023481561730094812,-0.014551183487385275
26,20,210.97801208496094,1.2430391311645508,0.0724756094976685,-0.047822817971220496,-0.026269954777848374
27,1357,979.8704223632812,1.240028977394104,0.04398567755945278,-0.02420976967852423,-0.021164116829900756
28,100,257.10650634765625,1.2342703342437744,0.07484509752006596,-0.04911421223727388,-0.027423910069056305
29,1145,857.9397583007812,1.2335572242736816,0.04606075836778309,-0.027202429890626934,-0.02015567321457172
30,30,216.92230224609375,1.2320506572723389,0.11465518925311506,-0.08420620034236122,-0.03228479883534631
31,145,283.06976318359375,1.221938967704773,0.05368445458350783,-0.032807686978866386,-0.02229565699675086
32,733,621.0325927734375,1.2218409776687622,0.034480766557977535,-0.026627694813676557,-0.008294986809262727
33,1356,979.3299560546875,1.2191308736801147,0.06725713497880285,-0.04512947348731056,-0.02356501077214729
34,1194,886.1600952148438,1.2186418771743774,0.04704158437020714,-0.027578844256348392,-0.020804848961288015
35,1137,853.3764038085938,1.2126396894454956,0.06319186693261433,-0.038353321116724744,-0.026531069478727937
36,853,690.0324096679688,1.2114520072937012,0.015487946838742807,-0.0057065560048410804,-0.01050829791532267
37,1447,1031.619384765625,1.2106372117996216,0.06405820283955889,-0.03841121801994256,-0.027402247033887512
38,430,446.7772216796875,1.2094595432281494,0.03242941685967517,-0.026756557501400074,-0.005943748337299223
39,306,375.37371826171875,1.2084933519363403,0.05276669553257559,-0.030401597588408522,-0.023915637286019288
40,453,460.0082092285156,1.2076998949050903,0.04212233874880662,-0.024560027715286807,-0.018775464858046428
41,646,571.0256958007812,1.20671808719635,0.020940808128080246,-0.019326425056897183,-0.001616200548476947
42,407,433.5166931152344,1.205623984336853,0.049277804240145884,-0.03437733477886043,-0.015842732212026353
43,823,672.5701904296875,1.20522940158844,-0.2317410631515178,0.3859361665681236,-0.16871269136242178
44,1096,829.7120361328125,1.203752875328064,0.03277000800568067,-0.021133693912468794,-0.01240887671887585
45,906,720.50146484375,1.2013332843780518,-0.38399009526213757,0.6009324444316567,-0.2377400500321057
46,694,598.5909423828125,1.2004811763763428,0.022647128207105825,-0.007769136802626993,-0.015989507710395447
47,103,258.71148681640625,1.1970669031143188,0.05941022703632296,-0.03232551816182735,-0.028991318966397762
48,1105,834.9368896484375,1.1962509155273438,0.028481409808087887,-0.010732545457220886,-0.01906544931117976
49,841,683.1486206054688,1.195819616317749,0.030506926380915456,-0.0217489203279011,-0.009301920065414217
50,228,330.60235595703125,1.193802833557129,0.04915763569663163,-0.03331668807640419,-0.016863445306897703
51,649,572.538818359375,1.1894844770431519,-0.14729636277799205,0.19210218134199136,-0.04953819897843431
52,1186,881.5449829101562,1.1840137243270874,-0.2695397062199093,0.42907110144427396,-0.17474278388688855
53,1219,900.4945068359375,1.1816333532333374,-0.12507554209702884,0.09308729002827672,0.033887146402393944
54,1058,807.919677734375,1.1787614822387695,0.035234197498094415,-0.023650206146295805,-0.01233629603242499
55,1217,899.5484008789062,1.17507803440094,-0.15399151844021436,0.2119929316977522,-0.06389174137822105
56,1239,912.0038452148438,1.173716425895691,0.05690310845701706,-0.03482630153830658,-0.02357640373018163
57,1158,865.5209350585938,1.173185110092163,-0.29396608218209186,0.34481582836596325,-0.057035420507150714
58,717,611.8385620117188,1.1725012063980103,0.043130311203229,-0.02894510068948479,-0.015106549140254789
59,652,574.4583129882812,1.1712062358856201,0.0201325211100415,0.004618370785127963,-0.02671274775489264
60,264,351.27960205078125,1.1707425117492676,0.3148682154317356,-0.1924257091864502,-0.13076425772578096
61,928,733.155517578125,1.1675750017166138,0.05038636546090597,-0.04790754964901743,-0.002364426971415205
62,475,472.65594482421875,1.1616207361221313,0.01616428443845589,-0.022133240850016132,0.006577170134642626
63,602,545.6934814453125,1.161410927772522,0.034126188214357527,-0.03174944285544494,-0.0023582349873928657
64,985,765.9526977539062,1.1607304811477661,0.06500438469258324,-0.035851082565977806,-0.031198738128784147
65,574,529.521728515625,1.1602977514266968,0.01168784898483625,-0.008693911331007862,-0.003171783949642777
66,1441,1028.2086181640625,1.1589959859848022,0.07272382879940226,-0.04770508766394403,-0.02666522882021283
67,1237,910.6928100585938,1.1544219255447388,-0.012627292791471229,0.04315364144512516,-0.033186726970429306
68,1128,848.2678833007812,1.152124047279358,0.03746433781880196,-0.026331505801977326,-0.01183268457087216
69,686,593.98486328125,1.148945689201355,0.06442525086745358,-0.03883270310637797,-0.027340851512247782
70,122,269.63037109375,1.1488405466079712,0.05370886807483044,-0.033313154029832766,-0.021773801487666996
71,1161,867.1755981445312,1.1467562913894653,0.04222015489040127,-0.021558660649077976,-0.022135874754289957
72,130,274.228271484375,1.1434575319290161,0.06858286415006525,-0.052311578492889435,-0.017205299293861397
73,567,525.5557250976562,1.143163800239563,0.052891091053140986,-0.029428315807813122,-0.025105259760750825
74,1286,939.0132446289062,1.1400146484375,0.04965431172101563,-0.02782077243415937,-0.023359169307526826
75,293,368.18548583984375,1.1382845640182495,0.05360469998902862,-0.03243638949168124,-0.022612345427143677
76,705,604.9291381835938,1.1343039274215698,0.02737529892115769,-0.019108415324333848,-0.008789428489586864
77,44,224.92901611328125,1.134235143661499,0.05966700551409086,-0.04079927687213388,-0.02007842158833638
78,697,600.3279418945312,1.1329747438430786,0.028836653940474532,0.010009679855738656,-0.04194319727772977
79,611,550.86328125,1.1304031610488892,0.06113264614114242,-0.034117770093826744,-0.02890451602292705
80,300,371.9497375488281,1.1290595531463623,0.06900234673592208,-0.0389725206246634,-0.03212362662590317
81,1124,845.65771484375,1.1281509399414062,-0.13607118939186796,0.13156084305972315,0.004016916984385842
82,544,512.31982421875,1.12748384475708,0.04104255229329981,-0.02521724664428099,-0.016898636570359594
83,757,634.7344360351562,1.1264046430587769,0.05278091679619385,-0.038481913746308494,-0.015167932700735083
84,1200,889.5732421875,1.124744176864624,-0.46090595120635125,0.6917169876452026,-0.2532748573739623
85,338,393.86572265625,1.1247016191482544,0.022897594997810924,-0.02244295133173592,-0.00034589667859155247
86,711,608.3751831054688,1.1230274438858032,0.02998591903184897,-0.013467073297230129,-0.017721834962639918
87,1001,775.1498413085938,1.1214615106582642,0.032829153676098864,-0.020369624492053824,-0.013301266551419819
88,610,550.29345703125,1.1202183961868286,0.0509878924006339,-0.03455266829491974,-0.017496170357450984
89,77,243.87823486328125,1.119886875152588,0.0641400227194925,-0.04518256635082967,-0.02014698291910432
90,56,231.68109130859375,1.1192706823349,0.041287381304250755,-0.02212552077457695,-0.020515529244753854
91,1169,871.5462646484375,1.1189217567443848,-0.3631089951798378,0.42192637488240736,-0.06612062792413072
92,1446,1031.0572509765625,1.1178898811340332,0.073018586987739,-0.045297246984273676,-0.029594280553282427
93,1209,894.6986083984375,1.1169037818908691,0.05652545238329202,-0.041459904352236975,-0.01597517862555894
94,1210,895.3970947265625,1.116720199584961,0.02297009589600329,-0.010810706206130097,-0.013039130958432645
95,1212,896.5660400390625,1.1140307188034058,-0.04352484476506413,-0.012959257017355473,0.060976811177487565
96,1100,832.0914916992188,1.113277792930603,0.054289997634883076,-0.03785284721859685,-0.017477037116120406
97,591,539.3489990234375,1.113160252571106,0.04857903215061275,-0.029485271909891614,-0.02039481231386406
98,1236,910.5420532226562,1.1120814085006714,-0.3072714463337398,0.3991129018165675,-0.10157610242208603
99,321,384.0871887207031,1.1120597124099731,0.05432674429816732,-0.03703729356455446,-0.018401113592431576
100,419,440.4211730957031,1.1071361303329468,0.06143547864225347,-0.03224435369454402,-0.03126269367749325
101,307,375.9956970214844,1.1060960292816162,0.055904198175681714,-0.04398026285835442,-0.012572118366682246
102,679,589.9618530273438,1.1059154272079468,0.05976793251411483,-0.03715246857691706,-0.024142160865115673
103,1479,1049.9066162109375,1.1055704355239868,0.026097263029530735,-0.01638174414660953,-0.01036867528600495
104,1261,924.6495971679688,1.1027659177780151,0.007302855250430849,-0.004699457448141338,-0.00277642863965398
105,302,373.1399230957031,1.1027135848999023,0.024775146624142378,-0.01616556921366485,-0.009177788021529614
106,583,534.6870727539062,1.1020187139511108,0.04683526958265351,-0.026683453221590894,-0.021553472416118085
107,1115,840.505859375,1.101511836051941,-0.22218366954911703,0.04545923346135554,0.19022823615903509
108,1425,1019.0043334960938,1.100282907485962,0.05457791700019981,-0.042195695583679915,-0.013077649730247873
109,753,632.5226440429688,1.10002863407135,0.031778994457385225,-0.02089329927922971,-0.01160120586264206
110,1378,991.9710693359375,1.0987623929977417,0.07469247659112943,-0.04228885966733549,-0.03466141321385444
111,728,618.171875,1.0975278615951538,0.06525112157530534,-0.04229371160114215,-0.02447775859062308
112,710,607.7928466796875,1.0972349643707275,0.044932974527112944,-0.02584604294903702,-0.020410839543482096
113,188,307.59326171875,1.0927473306655884,0.057521056621777304,-0.03951012601373626,-0.01916302301319716
114,840,682.5868530273438,1.0925418138504028,-0.11932799955013787,0.1867545237797793,-0.07389041719397739
115,943,741.5501098632812,1.0914278030395508,-0.384026864728619,0.5907995633034907,-0.22671138440376282
116,803,661.2855834960938,1.0879287719726562,0.05745551255180093,-0.04064577088118762,-0.01786076479267765
117,905,719.9349975585938,1.087830662727356,0.038107711525258305,-0.0271076747259204,-0.01168453435580388
118,674,587.0943603515625,1.0871354341506958,0.05259212048277424,-0.0454220783417823,-0.0074378469444491505
119,1474,1047.219970703125,1.0859023332595825,0.06646099198632795,-0.038736189433274705,-0.029640180685014193
120,377,416.2666320800781,1.0854053497314453,-0.08297294187356286,0.09444387285988357,-0.012973388790429943
121,1475,1047.72802734375,1.0847562551498413,0.05283384966158451,-0.037124798955782724,-0.016696777524671427
122,443,454.2355651855469,1.0844433307647705,0.043002862732487115,-0.022348475473352475,-0.022123136903716
123,792,655.0036010742188,1.0841619968414307,0.025794236932065662,-0.026377984528072294,0.0007988464911245591
124,230,331.76397705078125,1.0823813676834106,0.05418159791913577,-0.03539184600292564,-0.020029110655477415
125,1412,1011.5198364257812,1.0810229778289795,0.07182354121778915,-0.04817845467317871,-0.025181297840640052
126,965,754.5625610351562,1.0801656246185303,-0.13025554060696096,0.23853509942252862,-0.1182654254920243
127,1293,943.0985717773438,1.0781381130218506,0.0686049606908987,-0.03822069396876672,-0.03251056849777358
128,1034,794.1407470703125,1.0778138637542725,0.052262451088361236,-0.03526625702456371,-0.018096346171670115
129,409,434.70062255859375,1.0753860473632812,0.06128161350729808,-0.04720087464907722,-0.014876593839382966
130,1360,981.6029052734375,1.0753464698791504,0.02961653243434038,-0.028564800420840284,-0.0009502520945132848
131,1267,928.13232421875,1.0743346214294434,0.03962855419071424,-0.02854690630048098,-0.01176326660084893
132,217,324.2525939941406,1.0734493732452393,0.04386804331697629,-0.03788925529181831,-0.006202010505926137
133,330,389.25152587890625,1.0732420682907104,0.018133594759797988,0.002844814164173916,-0.022634368085504453
134,1264,926.4507446289062,1.0711917877197266,0.024429764847130882,-0.03055448878374951,0.006799220165759209
135,373,413.9921569824219,1.0633199214935303,0.049661220890361485,-0.036975357789869885,-0.013438545752408278
136,202,315.6744689941406,1.0628613233566284,0.04002826267772167,-0.040907573657453906,0.0012108632349526526
137,522,499.6931457519531,1.0618375539779663,0.005745449557532773,-0.001647144449069364,-0.004407652541606991
138,1152,861.9362182617188,1.0610380172729492,0.05266994205477291,-0.03463188886593529,-0.01922361486925199
139,1393,1000.5979614257812,1.0608751773834229,0.03165363999864408,-0.03142243493493241,-4.7305113016120566e-05
140,897,715.5050048828125,1.0603082180023193,-0.29810507520105506,0.43997044403532143,-0.155767711256331
141,890,711.3333740234375,1.0598348379135132,0.04825525072204486,-0.02728153622393582,-0.02243568806595692
142,494,483.55963134765625,1.059201717376709,0.05302699529437658,-0.03581576800190868,-0.01832463427805457
143,785,650.9391479492188,1.058912992477417,0.038026590916286226,-0.015807846027542746,-0.023851651827
144,1086,824.0381469726562,1.0588783025741577,0.059123986774628795,-0.031901857703021085,-0.02914218967169118
145,830,676.867919921875,1.05867338180542,0.04288837037750517,-0.022024590769600946,-0.02235095700500331
146,1449,1032.64990234375,1.057701826095581,-0.02158319289111569,0.03765785084209511,-0.0175715466530228
147,1409,1009.771484375,1.0567045211791992,0.043001194138877895,-0.029920232260009897,-0.01390983045337211
148,1171,872.7056884765625,1.0547746419906616,-0.0439490272019876,0.10609346177579382,-0.06767758133329876
149,115,265.6174621582031,1.0545692443847656,0.011190985165365768,-0.021799667098551415,0.0115769511702451
150,1187,882.1351318359375,1.0543209314346313,0.060061518225939435,-0.03533084010341485,-0.026434206304312785
151,1262,925.2604370117188,1.0538853406906128,0.04816848491525086,-0.028524105738428368,-0.02099459254226312
152,36,220.15469360351562,1.052098274230957,0.22507586287395503,-0.0986761107957068,-0.13563294481314309
153,558,520.3599853515625,1.0517371892929077,0.037891842053681166,-0.023976649071208018,-0.014847384493076111
154,762,637.68896484375,1.0514627695083618,0.028962652762985507,-0.017484943112607183,-0.012261341014546755
155,1271,930.4523315429688,1.0498594045639038,0.02760743063332839,-0.026251314493209235,-0.0012932664637230818
156,576,530.7520751953125,1.049617052078247,0.05796248247034849,-0.043494191787783354,-0.015318222319275383
157,370,412.1941223144531,1.0474306344985962,0.030274201190701604,-0.010786281779615063,-0.02093991804190186
158,1438,1026.4708251953125,1.0469259023666382,0.07658632918929162,-0.05059258854000147,-0.027697783812966628
159,32,217.88990783691406,1.0468616485595703,0.07142000188898147,-0.047623209927801356,-0.025348414617958694
160,155,288.6418151855469,1.0460898876190186,0.06355491573051936,-0.041883969351966505,-0.023093500813377667
161,786,651.5028076171875,1.0458412170410156,0.06483047750630179,-0.03483923529375344,-0.032108594904758314
162,891,711.873291015625,1.0456361770629883,0.061536693161424016,-0.0361730621207323,-0.027111157702154182
163,788,652.662353515625,1.0454856157302856,0.005221674134939778,-0.028130925937664177,0.024878453256623904
164,834,679.1260986328125,1.043592929840088,0.04694713658274474,-0.026283847219841838,-0.022107441697156276
165,458,462.87103271484375,1.0421098470687866,0.04705822332948408,-0.02676058211545494,-0.021710185360784853
166,1019,785.5687255859375,1.0416346788406372,0.03387188937762131,-0.023047271007847665,-0.011521517737087601
167,690,596.2978515625,1.0416110754013062,0.019036971735752067,-0.017540131113950516,-0.0015009625058302262
168,104,259.2428283691406,1.041294813156128,-0.44660022194568494,0.3451179329692136,0.10718644669487203
169,167,295.33148193359375,1.0408058166503906,0.056104632914277176,-0.02827181058510189,-0.029823886551230996
170,594,541.0712280273438,1.039154291152954,0.03299033070183954,-0.02729483963458519,-0.005964687299753331
171,1392,1000.0093383789062,1.039065957069397,0.05413323109579884,-0.04259273516392408,-0.01216766335833133
172,1311,953.4462890625,1.0384093523025513,0.050491517061196936,-0.025262335467676957,-0.027036334661571838
173,433,448.50762939453125,1.0374962091445923,0.05026427915720708,-0.027271275303991586,-0.024612678836755848
174,349,400.15618896484375,1.0373698472976685,0.0735142650420585,-0.04591398636263335,-0.029459804874183128
175,189,308.2268371582031,1.0370869636535645,0.0348722857443437,-0.03071244669542579,-0.004287190247410496
176,699,601.4511108398438,1.034125566482544,0.04495254851649974,-0.030203878944663372,-0.015705904485577765
177,881,706.1333618164062,1.0336191654205322,0.06380129248032294,-0.035747349849425604,-0.030014224006715218
178,459,463.41650390625,1.0325627326965332,0.06196551965564584,-0.04266409040478259,-0.020533993984078333
179,695,599.3106079101562,1.032484531402588,-0.38887895569751463,0.5457686685577717,-0.17264488296679514
180,1084,822.6707763671875,1.0316578149795532,-0.11086532979373373,0.13044068006955514,-0.02194182613123884
181,1452,1034.5201416015625,1.0312193632125854,0.07928714234432896,-0.05083681103103134,-0.030344578202604344
182,1117,841.8446655273438,1.0309854745864868,0.05141396584417647,-0.030283203304808454,-0.02258570461262763
183,279,359.9205627441406,1.0301437377929688,0.039265334851120645,-0.030058694783379015,-0.009732170503609026
184,1004,776.7109375,1.0289469957351685,0.04681217289250988,-0.03556650947650209,-0.011894971662954796
185,1455,1036.275146484375,1.028814435005188,0.05632403791674601,-0.032517867915985335,-0.025455605316669367
186,298,370.8899230957031,1.0286935567855835,0.051817261564306126,-0.034058009180595046,-0.018926737797042223
187,836,680.2650756835938,1.0277249813079834,0.03148711377090046,-0.020384277115183615,-0.01183856988755524
188,1453,1035.107421875,1.0272462368011475,0.06639919550349076,-0.040067010107742745,-0.02813029605823679
189,597,542.8203125,1.027214765548706,0.04967636538834809,-0.04333640532913167,-0.006556369067997555
190,303,373.7699279785156,1.0269650220870972,0.048389378118437014,-0.04148215144384538,-0.007179836361720065
191,604,546.8453979492188,1.0252565145492554,0.02891539771968064,-0.0317933870755732,0.003306992097604608
192,680,590.5255126953125,1.02495539188385,0.12526903646131787,-0.07558759741651186,-0.05307401774273047
193,348,399.62567138671875,1.0247055292129517,0.038577745808502824,-0.02310993352688463,-0.016526779042328996
194,350,400.7630615234375,1.0246683359146118,0.04324908970157895,-0.03769528897900275,-0.0057450932466481235
195,1337,968.3945922851562,1.0243715047836304,0.046066152950924,-0.02575545576569673,-0.021730720393388695
196,1366,985.0692749023438,1.0239167213439941,0.0410473055715789,-0.02806785334332967,-0.013812301528814158
197,843,684.306884765625,1.023829460144043,0.044944282675355905,-0.033305357830491426,-0.012333465178093634
198,345,397.9009094238281,1.02358877658844,0.022990767613450713,-0.020222911525065314,-0.002853957603349273
199,1394,1001.1754760742188,1.0235751867294312,0.02716511393113657,-0.03113008169914569,0.0044745622898939895
200,63,235.70318603515625,1.0232616662979126,0.048656672385340966,-0.03620702621512115,-0.013188826581167063
