beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,28,342,-314,314,False
2.45,28,342,-314,314,False
2.4,29,342,-313,313,False
2.35,32,342,-310,310,False
2.3,32,342,-310,310,False
2.25,32,342,-310,310,False
2.2,32,342,-310,310,False
2.15,34,342,-308,308,False
2.1,34,342,-308,308,False
2.05,36,342,-306,306,False
2.0,37,342,-305,305,False
1.95,41,342,-301,301,False
1.9,42,342,-300,300,False
1.85,43,342,-299,299,False
1.8,44,342,-298,298,False
1.75,45,342,-297,297,False
1.7,46,342,-296,296,False
1.65,46,342,-296,296,False
1.6,48,342,-294,294,False
1.55,50,342,-292,292,False
1.5,52,342,-290,290,False
1.45,54,342,-288,288,False
1.4,56,342,-286,286,False
1.35,58,342,-284,284,False
1.3,63,342,-279,279,False
1.25,64,342,-278,278,False
1.2,67,342,-275,275,False
1.15,69,342,-273,273,False
1.1,74,342,-268,268,False
1.05,76,342,-266,266,False
1.0,76,342,-266,266,False
0.95,79,342,-263,263,False
0.9,87,342,-255,255,False
0.85,90,342,-252,252,False
0.8,99,342,-243,243,False
0.75,105,342,-237,237,False
0.7,114,342,-228,228,False
0.65,121,342,-221,221,False
0.6,128,342,-214,214,False
0.55,134,342,-208,208,False
0.5,142,342,-200,200,False
0.45,154,342,-188,188,False
0.4,175,342,-167,167,False
0.35,192,342,-150,150,False
0.3,216,342,-126,126,False
0.25,263,342,-79,79,False
0.2,315,342,-27,27,True
0.15,401,342,59,59,False
0.1,477,342,135,135,False
0.05,534,342,192,192,False
0.0,538,342,196,196,False
