dataset,job_id,measured_pixels,coverage_percent,normal_pixels,tumour_pixels,tumour_fraction,candidate_peaks,picked_peaks,f1_0.3,f1_0.4,f1_0.5,f1_0.6,mscf1,mscf1_unrounded,normal_f1_0.3,tumour_f1_0.3,training_minutes,evaluation_minutes,total_minutes,peak_gpu_memory_gib,loss_start,loss_end,loss_reduction_percent,log_issue_count
GBM108_positive,53118,2071,82.18253968253968,1173,898,0.4336069531627233,4555,581,0.04602235371466141,0.03098106712564544,0.034858387799564274,0.02197802197802198,0.033,0.03345995765447327,0.054474708171206226,0.01303538175046555,8.248642804399909,1.2318221480197584,9.72361623783363,0.29407644271850586,0.06322421878576279,0.019850268959999084,68.60337803894053,0
GBM108_negative,53119,2512,54.62056968906284,960,1552,0.6178343949044586,2680,937,0.6760070052539404,0.7043756670224119,0.683291770573566,0.5908096280087527,0.664,0.6636210177146677,0.40850515463917525,0.5452366686638705,10.0125556096357,1.5335620418035736,11.830753773039516,0.29407644271850586,0.05338376760482788,0.018526487052440643,65.29565468368112,0
GBM12_1,53120,3658,82.94784580498866,3362,296,0.08091853471842538,13080,691,0.253765932792584,0.16931982633863965,0.10187667560321716,0.056338028169014086,0.145,0.14532511572586373,0.2964426877470356,0.09822064056939502,14.421251001084844,1.6707958057833214,16.489575491387708,0.29407644271850586,0.04009043797850609,0.017985446378588676,55.13781518617653,0
GBM12_2,53121,3306,80.02904865649964,2466,840,0.2540834845735027,5925,981,0.5468615649183147,0.5616717635066258,0.5210183540556542,0.4174153420870767,0.512,0.5117417561419179,0.5584158415841585,0.23772321428571427,12.977739651532223,1.9453141027983898,15.285075161652639,0.29407644271850586,0.043949227780103683,0.01802368462085724,58.989758111252264,0
GBM22_1,53122,3835,78.32924836601308,3147,688,0.17940026075619295,11609,845,0.4209505334626576,0.3479289940828402,0.25226480836236936,0.1596774193548387,0.295,0.29520543881567646,0.4236526946107784,0.19223424570337364,15.111284462750579,2.177057433865654,17.70224789441563,0.29407644271850586,0.03897171467542648,0.018173381686210632,53.36776470430793,0
GBM22_2,53123,4524,73.6328125,3415,1109,0.2451370468611848,30208,1014,0.506776180698152,0.39250493096646943,0.288,0.1686429512516469,0.339,0.3389810157290671,0.5222291797119599,0.2159827213822894,17.837705404218287,2.559738888250043,20.887390394330335,0.29407644271850586,0.034716203808784485,0.017124813050031662,50.67198837651008,0
GBM39_1,53124,4015,76.53450247807854,3451,564,0.14047322540473225,12588,696,0.3881305637982196,0.29454022988505746,0.1967769296013571,0.138671875,0.255,0.2545298995711585,0.4015223596574691,0.17443609022556392,16.573678753133088,1.9285593432141468,18.909510270281075,0.29407644271850586,0.03743356093764305,0.01736585982143879,53.60884888732094,0
GBM39_2,53125,2406,75.85119798234552,1848,558,0.23192019950124687,1796,917,0.31902985074626866,0.2955288985823337,0.2738021157436217,0.23496107572540695,0.281,0.2808304851994078,0.25815405968077726,0.1925925925925926,9.627923192332188,1.4583548728143796,11.341096010881786,0.29407644271850586,0.055747196078300476,0.01926315948367119,65.44550966004665,0
