rank,bin_index,mz,score,pcc_class_0,pcc_class_1,pcc_class_2
1,117,266.79022216796875,2.062032461166382,-0.0016458181172418636,-0.05234267364407064,0.06051214574386942
2,519,497.94464111328125,1.965270757675171,0.015020434108578735,-0.031392798988308906,0.016732774289647718
3,158,290.3276672363281,1.8357003927230835,0.03173080819232203,-0.016452661487980167,-0.020383690598093456
4,407,433.4862365722656,1.7983779907226562,0.03535996311546824,-0.02107758861294754,-0.01964910369706911
5,692,597.3690185546875,1.7304821014404297,0.018014598275088584,-0.0064998830801299284,-0.014747536246526001
6,1271,930.47216796875,1.7185020446777344,-0.0017566427324853273,-0.0190298458319921,0.023415277954209193
7,1178,876.794189453125,1.7019513845443726,0.0003964890587390466,-0.011957272988517046,0.012879646192485347
8,590,538.6912231445312,1.687380075454712,0.2648901019741542,-0.17906487236773297,-0.12353821832826503
9,486,478.9727783203125,1.6834360361099243,0.04491043565548675,-0.030210783103938058,-0.021111125851804597
10,343,396.7798767089844,1.6392844915390015,0.46102697734225023,-0.30482552950506997,-0.222642144340397
11,828,675.5590209960938,1.6331441402435303,-0.027607936802642986,0.016435677790836347,0.015364905635729148
12,1406,1008.02685546875,1.6318402290344238,0.008053851986787,-0.01589755383739197,0.007926936998394892
13,159,291.02178955078125,1.5900298357009888,0.5656465613930846,-0.3597074783822857,-0.28913843915791565
14,755,633.6394653320312,1.5814322233200073,0.0285865167455607,-0.017335838639150787,-0.015554569407418473
15,436,450.2320556640625,1.5809597969055176,0.030645023819177438,-0.022173504662268834,-0.012663027412040563
16,1436,1025.3408203125,1.5804650783538818,0.04036659010774957,-0.02058635373480008,-0.02631576972528701
17,17,209.0516815185547,1.5703763961791992,0.041991275365474194,-0.02519327218709924,-0.023152034090193396
18,549,515.1927490234375,1.5667109489440918,0.06648086314614347,-0.04793497453944673,-0.027658639289077632
19,442,453.630859375,1.5607424974441528,0.033406053291148194,-0.012942003005038023,-0.02635439378147835
20,440,452.33831787109375,1.5472110509872437,0.04887444099302133,-0.033928945086296194,-0.02179914672923504
21,446,455.974365234375,1.540066123008728,0.034447608235230485,-0.01695272317493177,-0.0231444715713156
22,282,361.6646423339844,1.5262137651443481,0.050842876088153445,-0.03302281924410809,-0.025217129134136033
23,72,240.98309326171875,1.5089848041534424,0.13231601452782185,-0.0823606728645595,-0.06962700358435299
24,193,310.2882080078125,1.5088671445846558,-0.3819960780200343,0.5325567733435541,-0.128451506973048
25,642,568.6869506835938,1.506540060043335,0.03744770762809063,-0.026932009268235843,-0.015656905127046424
26,13,207.00660705566406,1.5020033121109009,0.5562054099231057,-0.35070257829949697,-0.2876666081953691
27,1209,894.6807861328125,1.4890495538711548,0.020366031850993824,-0.013165821538646521,-0.01017054346086025
28,18,209.90174865722656,1.4816088676452637,0.0710955230659196,-0.05293729414981582,-0.027706453183385167
29,553,517.4927368164062,1.4771063327789307,0.029257553566514063,-0.018010812851532602,-0.015620125192107377
30,680,590.5108032226562,1.4748995304107666,0.07912886710864189,-0.05062248357277823,-0.040109617555090626
31,1424,1018.4713134765625,1.4702091217041016,0.02761437488166703,-0.01520473104840284,-0.01674854750696868
