collection,method,sections,mean_mSCF1,section_sd,median_mSCF1,minimum_mSCF1,maximum_mSCF1
GBM,Legacy msiPL,8,0.36427300839403465,0.07486422070858759,0.3809137342052151,0.2125475053286987,0.4571079067513546
GBM,Centre-only IG,8,0.46648444238406983,0.08199506973987848,0.4934927614809924,0.2813406552022373,0.5320878185398554
GBM,Uniform-context IG,8,0.4562125752386399,0.08976592841108885,0.4742909609488134,0.2630452063400543,0.5400180485715775
CAC,Legacy msiPL,8,0.40235399429758456,0.06881932933105703,0.399856392908847,0.3193711644976863,0.5124106607211478
CAC,Centre-only IG,8,0.5284897033961896,0.12049384129221538,0.5307998956091662,0.36182145393599446,0.6804372163847988
CAC,Uniform-context IG,8,0.559527332052024,0.12528075495039395,0.586613254723911,0.38718638142844397,0.7186862916267168
