collection,section,matched_peaks,legacy_msipl,central_ig,spatial_ig,spatial_l2,context_delta,context_peak_intersection,context_peak_jaccard,context_peak_fraction_shared,s3pl,s3pl_peaks
GBM,GBM108_positive,584,0.40997232204746964,0.508112512098764,0.5325189253887025,0.07279133888668521,0.024406413289938533,478,0.6927536231884058,0.8184931506849316,,
GBM,GBM108_negative,940,0.547761301493713,0.6537179842382652,0.6587761178077036,0.10307352527611166,0.0050581335694384055,808,0.753731343283582,0.8595744680851064,,
GBM,GBM12_1,691,0.2446683586698211,0.29076158270149227,0.2786073205033823,0.340729358892326,-0.012154262198109944,510,0.5848623853211009,0.7380607814761215,,
GBM,GBM12_2,986,0.47753308975405384,0.5693455690624891,0.5953380982902173,0.17195981794817125,0.02599252922772821,709,0.5613618368962787,0.7190669371196755,,
GBM,GBM22_1,834,0.3807384391664672,0.5197817755841339,0.5377242641450929,0.2783179938036614,0.017942488560959036,616,0.5855513307984791,0.7386091127098321,,
GBM,GBM22_2,1028,0.4691431120996832,0.6113759864645252,0.5265884298947764,0.1684151709133742,-0.08478755656974879,640,0.4519774011299435,0.622568093385214,,
GBM,GBM39_1,695,0.31481319333136376,0.42075940029495085,0.42911931406681914,0.32183609394370083,0.008359913771868288,464,0.5010799136069114,0.6676258992805756,,
GBM,GBM39_2,911,0.46866927385638385,0.5683505464681188,0.5300361391427059,0.2972945914294148,-0.038314407325412914,676,0.5898778359511344,0.7420417124039517,,
CAC,40TopL,315,0.47770960267644963,0.6804372163847988,0.6826527840061475,0.005513729876409622,0.0022155676213486686,257,0.6890080428954424,0.8158730158730159,0.715,315
CAC,160TopL,210,0.3575867998390728,0.4804958597720773,0.48298246519676946,0.001336898395721925,0.0024866054246921454,162,0.627906976744186,0.7714285714285715,0.495,210
CAC,200TopL,221,0.426353031574464,0.622879620227898,0.6331344783641121,0.013348751060615466,0.010254858136214073,177,0.6679245283018868,0.8009049773755657,0.665,221
CAC,240TopL,255,0.39821430036614663,0.5664243042019446,0.6084235866207681,0.004167658966420577,0.04199928241882356,191,0.5987460815047022,0.7490196078431373,0.67,255
CAC,280TopL,245,0.3193711644976863,0.3755372019826544,0.38718638142844397,0.0,0.011649179445789581,193,0.6498316498316499,0.7877551020408163,0.378,245
CAC,360TopL,247,0.40149848545154737,0.49517548701638775,0.5648029228270539,0.0,0.06962743581066616,192,0.6357615894039735,0.7773279352226721,0.643,247
CAC,400TopL,133,0.32568790925416213,0.36182145393599446,0.3983497463461799,0.0,0.03652829241018546,103,0.6319018404907976,0.7744360902255639,0.459,133
CAC,520TopL,232,0.5124106607211478,0.645146483647761,0.7186862916267168,0.038937459306837105,0.07353980797895587,188,0.6811594202898551,0.8103448275862069,0.707,232
