component,rank,bin_index,mz,combined_absolute_ig,central_absolute_ig,context_absolute_ig,central_signed_ig,context_signed_ig,first_layer_combined_l2
0,1,78088,400.3420104980469,0.0026624409947544336,0.0019399685552343726,0.0007224722648970783,-0.0019362717866897583,0.0007224722648970783,1.1072717905044556
0,2,79013,428.3732604980469,0.0009217059123329818,0.0006060176528990269,0.00031568811391480267,-0.000604324450250715,0.00031568811391480267,0.9662652015686035
0,3,81717,616.1770629882812,0.0008077192469500005,0.000370389869203791,0.0004373292613308877,0.00036944300518371165,0.0004362240433692932,0.7761638164520264
0,4,78932,426.3575744628906,0.0007217039237730205,0.00046978515456430614,0.00025191871100105345,-0.0004683267616201192,0.00025191871100105345,1.074010968208313
0,5,78145,401.3455810546875,0.0006603538640774786,0.0004297510895412415,0.00023060284729581326,-0.00042878222302533686,0.00023060284729581326,1.084887981414795
0,6,82576,713.4511108398438,0.000648555054794997,0.0004393091658130288,0.00020924588898196816,-0.0004390717076603323,-0.00020893574401270598,0.7976752519607544
0,7,82486,706.5377807617188,0.00042201136238873005,0.0003041623276658356,0.00011784898379119113,-0.0003034990222658962,-0.00010570697486400604,1.4324626922607422
0,8,81742,617.1839599609375,0.00035914851468987763,0.0001828185486374423,0.00017632996605243534,0.00018257384363096207,0.00017420943186152726,0.8119164705276489
0,9,80608,527.0701293945312,0.0003337275411467999,0.00020087655866518617,0.00013285098248161376,0.00020075734937563539,0.00013284677697811276,0.7914265990257263
0,10,81741,617.1803588867188,0.0003315658832434565,0.00014673794794362038,0.000184827993507497,0.0001465592795284465,0.0001847626263042912,0.748315691947937
0,11,77129,372.31072998046875,0.0003159189654979855,0.00023258074361365288,8.333820005645975e-05,-0.00023208749189507216,8.288177923532203e-05,1.20981764793396
0,12,80295,503.94818115234375,0.00031321789720095694,0.00021867582108825445,9.454204700887203e-05,0.00021858216496184468,9.21420578379184e-05,0.6036592125892639
0,13,78453,409.0555419921875,0.00031300619593821466,0.00016257997776847333,0.00015042621816974133,0.0001623511634534225,0.00014915151405148208,0.5883678197860718
0,14,79062,429.3766174316406,0.00030406538280658424,0.00022781787265557796,7.624751015100628e-05,-0.00022730969067197293,7.624751015100628e-05,0.9939408302307129
0,15,78861,424.3421325683594,0.0002976923424284905,0.00020716630388051271,9.052606037585065e-05,-0.00020550437329802662,-8.278658060589805e-05,1.1179685592651367
0,16,82455,703.5741577148438,0.00028264286811463535,0.0002366192638874054,4.602360786520876e-05,-0.0002363762614550069,-4.5952448999742046e-05,0.9826821088790894
0,17,82589,714.4548950195312,0.0002636814315337688,0.00019531564612407237,6.836576358182356e-05,-0.0001952094171429053,-6.822829163866118e-05,0.8259512186050415
0,18,82539,710.488525390625,0.0002636600111145526,0.00010630278120515868,0.000157357266289182,0.00010622621630318463,0.00015706902195233852,0.735651969909668
0,19,82739,732.5538940429688,0.0002588954521343112,0.00017449009465053678,8.440535020781681e-05,-0.00017429229046683758,-8.426292333751917e-05,1.0002753734588623
0,20,77996,398.326416015625,0.00023709652305115014,0.00018844078294932842,4.86557291878853e-05,-0.00018778540834318846,4.7688725317129865e-05,1.1458690166473389
0,21,82758,734.5697631835938,0.00023696303833276033,0.00011658542643999681,0.00012037762644467875,-0.0001162823973572813,-0.00011729605466825888,0.5913175344467163
0,22,82063,651.5342407226562,0.0002343166124774143,0.00016194258932955563,7.237402314785868e-05,-0.00016168422007467598,-7.199271931312978e-05,0.8585452437400818
0,23,80180,496.33990478515625,0.00022314344823826104,0.00019620207604020834,2.694136492209509e-05,0.00019594126206357032,5.705398507416248e-06,0.5160974264144897
0,24,76863,366.9617614746094,0.00020902608230244368,0.00015653828450012952,5.24878159922082e-05,0.000156417561811395,5.23845519637689e-05,0.5126694440841675
0,25,77038,369.3515625,0.00020086014410480857,0.00016232520283665508,3.85349485441111e-05,0.0001622275449335575,3.7509082176256925e-05,0.7515805959701538
0,26,71975,200.17294311523438,0.00019664218416437507,0.00014606716285925359,5.057501039118506e-05,-0.00014579026901628822,5.057501039118506e-05,1.0932501554489136
0,27,78967,427.36090087890625,0.00019353959942236543,0.00012841606803704053,6.512350955745205e-05,-0.00012800081458408386,6.512295658467337e-05,1.0892345905303955
0,28,80053,487.9745178222656,0.00019001287000719458,0.00015996342699509114,3.004948484885972e-05,0.00015970368986018002,1.4681289030704647e-05,0.5965824127197266
0,29,80960,551.50341796875,0.00018893543165177107,0.00017357332399114966,1.5362040358013473e-05,-0.00017345987726002932,-1.1831419897134765e-06,0.6104846000671387
0,30,78026,399.1444091796875,0.0001853515423135832,9.622581274015829e-05,8.912575867725536e-05,9.614560258341953e-05,6.667505658697337e-05,0.645663857460022
0,31,80589,525.9302368164062,0.00016647623851895332,0.00013189231685828418,3.45839471265208e-05,0.00013174170453567058,3.090250902459957e-05,0.5839816331863403
0,32,81172,567.927978515625,0.00016042972856666893,0.00010654782090568915,5.3881896747043356e-05,0.00010654572542989627,5.379800495575182e-05,0.8742445111274719
0,33,81268,577.518798828125,0.0001598016096977517,0.0001156572179752402,4.414441355038434e-05,-0.00011556014214875177,-4.336527854320593e-05,0.70542973279953
0,34,82497,707.541015625,0.0001596927031641826,0.00011985543096670881,3.983726855949499e-05,-0.00011959621770074591,-3.683710747282021e-05,1.2446414232254028
0,35,78089,400.3472900390625,0.000156493901158683,0.00010783403558889404,4.865984737989493e-05,-0.00010748740896815434,4.865984737989493e-05,1.2459492683410645
0,36,80789,541.904296875,0.00015601726772729307,9.81890843831934e-05,5.782817243016325e-05,9.818722173804417e-05,5.6086271797539666e-05,0.5642368197441101
0,37,82380,694.5144653320312,0.00015411063213832676,8.005999552551657e-05,7.405062206089497e-05,7.996252679731697e-05,7.3856113885995e-05,0.7286737561225891
0,38,79689,465.99267578125,0.00013997340283822268,0.00011788181291194633,2.2091580831329338e-05,0.00011783705122070387,1.917513509397395e-05,0.53431636095047
