beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,523,917,-394,394,False
2.45,536,917,-381,381,False
2.4,550,917,-367,367,False
2.35,562,917,-355,355,False
2.3,572,917,-345,345,False
2.25,581,917,-336,336,False
2.2,593,917,-324,324,False
2.15,603,917,-314,314,False
2.1,613,917,-304,304,False
2.05,627,917,-290,290,False
2.0,643,917,-274,274,False
1.95,659,917,-258,258,False
1.9,669,917,-248,248,False
1.85,687,917,-230,230,False
1.8,700,917,-217,217,False
1.75,714,917,-203,203,False
1.7,735,917,-182,182,False
1.65,755,917,-162,162,False
1.6,769,917,-148,148,False
1.55,787,917,-130,130,False
1.5,812,917,-105,105,False
1.45,830,917,-87,87,False
1.4,855,917,-62,62,False
1.35,875,917,-42,42,True
1.3,891,917,-26,26,True
1.25,911,917,-6,6,True
1.2,938,917,21,21,True
1.15,958,917,41,41,True
1.1,982,917,65,65,False
1.05,1012,917,95,95,False
1.0,1037,917,120,120,False
