beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,24,214,-190,190,False
2.45,26,214,-188,188,False
2.4,26,214,-188,188,False
2.35,26,214,-188,188,False
2.3,26,214,-188,188,False
2.25,28,214,-186,186,False
2.2,29,214,-185,185,False
2.15,29,214,-185,185,False
2.1,30,214,-184,184,False
2.05,31,214,-183,183,False
2.0,32,214,-182,182,False
1.95,33,214,-181,181,False
1.9,34,214,-180,180,False
1.85,34,214,-180,180,False
1.8,35,214,-179,179,False
1.75,37,214,-177,177,False
1.7,38,214,-176,176,False
1.65,39,214,-175,175,False
1.6,39,214,-175,175,False
1.55,41,214,-173,173,False
1.5,46,214,-168,168,False
1.45,49,214,-165,165,False
1.4,54,214,-160,160,False
1.35,56,214,-158,158,False
1.3,57,214,-157,157,False
1.25,60,214,-154,154,False
1.2,60,214,-154,154,False
1.15,61,214,-153,153,False
1.1,65,214,-149,149,False
1.05,68,214,-146,146,False
1.0,75,214,-139,139,False
0.95,78,214,-136,136,False
0.9,79,214,-135,135,False
0.85,83,214,-131,131,False
0.8,88,214,-126,126,False
0.75,96,214,-118,118,False
0.7,103,214,-111,111,False
0.65,113,214,-101,101,False
0.6,122,214,-92,92,False
0.55,135,214,-79,79,False
0.5,153,214,-61,61,False
0.45,174,214,-40,40,True
0.4,194,214,-20,20,True
0.35,221,214,7,7,True
0.3,255,214,41,41,True
0.25,285,214,71,71,False
0.2,351,214,137,137,False
0.15,407,214,193,193,False
0.1,459,214,245,245,False
0.05,499,214,285,285,False
0.0,512,214,298,298,False
