component,rank,bin_index,mz,combined_absolute_ig,central_absolute_ig,context_absolute_ig,central_signed_ig,context_signed_ig,first_layer_combined_l2
0,1,81717,616.1770629882812,0.04936188459396362,0.04936188459396362,0.0,0.049030546098947525,0.0,0.43976691365242004
0,2,81741,617.1803588867188,0.02261975221335888,0.02261975221335888,0.0,0.02261975221335888,0.0,0.41365787386894226
0,3,81742,617.1839599609375,0.018828565254807472,0.018828565254807472,0.0,0.018828565254807472,0.0,0.4400414228439331
0,4,81018,557.1637573242188,0.014735355973243713,0.014735355973243713,0.0,0.014735355973243713,0.0,0.45686930418014526
0,5,82576,713.4511108398438,0.009699798189103603,0.009699798189103603,0.0,0.004599547479301691,0.0,0.49250921607017517
0,6,79415,449.0477600097656,0.00742388516664505,0.00742388516664505,0.0,0.004683192819356918,0.0,0.34347620606422424
0,7,81268,577.518798828125,0.007272226270288229,0.007272226270288229,0.0,0.006087279412895441,0.0,0.3267228901386261
0,8,82758,734.5697631835938,0.0071702576242387295,0.0071702576242387295,0.0,0.0027354732155799866,0.0,0.32666414976119995
0,9,82063,651.5342407226562,0.006932863499969244,0.006932863499969244,0.0,0.0020643470343202353,0.0,0.43325111269950867
0,10,80960,551.50341796875,0.0063192229717969894,0.0063192229717969894,0.0,0.002808044897392392,0.0,0.424276739358902
0,11,82672,725.5563354492188,0.006183998193591833,0.006183998193591833,0.0,0.006183998193591833,0.0,0.6561453342437744
0,12,81766,618.1878662109375,0.006053235847502947,0.006053235847502947,0.0,0.006053235847502947,0.0,0.42694804072380066
0,13,80212,498.1500244140625,0.005573214963078499,0.005573214963078499,0.0,0.005573214963078499,0.0,0.44160544872283936
0,14,81301,580.0238037109375,0.005467449780553579,0.005467449780553579,0.0,0.00374881480820477,0.0,0.7474908828735352
0,15,81029,558.1666870117188,0.005062452517449856,0.005062452517449856,0.0,0.005062452517449856,0.0,0.4445045292377472
0,16,81540,602.0059814453125,0.0050454349257051945,0.0050454349257051945,0.0,0.0022369727957993746,0.0,0.6196863055229187
0,17,76863,366.9617614746094,0.00476258248090744,0.00476258248090744,0.0,-0.000129287873278372,0.0,0.3189556896686554
0,18,78981,428.0367126464844,0.004671528469771147,0.004671528469771147,0.0,0.001173872617073357,0.0,0.43130144476890564
0,19,80195,497.1420593261719,0.004662704188376665,0.004662704188376665,0.0,0.004662704188376665,0.0,0.4701056480407715
0,20,82455,703.5741577148438,0.004641789477318525,0.004641789477318525,0.0,0.004641789477318525,0.0,0.5613203048706055
0,21,82539,710.488525390625,0.0046171704307198524,0.0046171704307198524,0.0,0.002720442833378911,0.0,0.48987647891044617
0,22,80569,524.370849609375,0.004502374213188887,0.004502374213188887,0.0,0.002562538255006075,0.0,0.3551397919654846
0,23,78088,400.3420104980469,0.004121686797589064,0.004121686797589064,0.0,-0.0014355516759678721,0.0,0.4723016917705536
0,24,82589,714.4548950195312,0.004073841962963343,0.004073841962963343,0.0,0.0019938701298087835,0.0,0.4949045479297638
0,25,80794,542.0684204101562,0.003918786998838186,0.003918786998838186,0.0,0.0030606959480792284,0.0,0.6792741417884827
0,26,82098,655.1400756835938,0.003891701577231288,0.003891701577231288,0.0,0.003891701577231288,0.0,0.4608987271785736
0,27,81117,564.0504150390625,0.0037231126334518194,0.0037231126334518194,0.0,0.001990249380469322,0.0,0.5731734037399292
0,28,82079,652.5381469726562,0.0036650551483035088,0.0036650551483035088,0.0,0.0011941302800551057,0.0,0.4277801215648651
0,29,81763,617.9797973632812,0.003588804742321372,0.003588804742321372,0.0,0.0019216880900785327,0.0,0.7806374430656433
0,30,82300,682.45703125,0.0035198188852518797,0.0035198188852518797,0.0,0.0019797435961663723,0.0,0.5077546834945679
0,31,80509,520.3392944335938,0.00343965832144022,0.00343965832144022,0.0,0.00343965832144022,0.0,0.5325455665588379
0,32,81592,605.5501098632812,0.003413023427128792,0.003413023427128792,0.0,0.003193079261109233,0.0,0.390777051448822
0,33,79394,448.34222412109375,0.0033204478677362204,0.0033204478677362204,0.0,0.0003137356834486127,0.0,0.5781652927398682
0,34,80839,544.1551513671875,0.003277451964095235,0.003277451964095235,0.0,0.003277451964095235,0.0,0.41234269738197327
0,35,81106,563.2651977539062,0.0030541804153472185,0.0030541804153472185,0.0,0.0030541804153472185,0.0,0.4565092921257019
0,36,81296,579.53466796875,0.0030285592656582594,0.0030285592656582594,0.0,0.00095042196335271,0.0,0.5071333050727844
0,37,81694,615.1690063476562,0.003011151449754834,0.003011151449754834,0.0,0.003011151449754834,0.0,0.4017358124256134
0,38,80272,502.3290100097656,0.0029281803872436285,0.0029281803872436285,0.0,0.0029281803872436285,0.0,0.6294351816177368
0,39,78836,423.98193359375,0.0027636708691716194,0.0027636708691716194,0.0,0.0017307139933109283,0.0,0.40783804655075073
0,40,82685,726.5598754882812,0.0027422504499554634,0.0027422504499554634,0.0,0.0027422504499554634,0.0,0.6640095114707947
