component,rank,bin_index,mz,combined_absolute_ig,central_absolute_ig,context_absolute_ig,central_signed_ig,context_signed_ig,first_layer_combined_l2
0,1,81717,616.1770629882812,0.06001150608062744,0.05296977981925011,0.007041724398732185,0.04902113974094391,0.005203044041991234,0.7579174041748047
0,2,82576,713.4511108398438,0.02331913262605667,0.016046889126300812,0.007272243034094572,0.016046889126300812,0.006595758255571127,0.8313907384872437
0,3,81741,617.1803588867188,0.022429227828979492,0.02002662792801857,0.0024026010651141405,0.018609918653964996,0.0016979352803900838,0.7321808934211731
0,4,81742,617.1839599609375,0.019413361325860023,0.01758660189807415,0.0018267581472173333,0.01630844548344612,0.0012444342719390988,0.733791172504425
0,5,79415,449.0477600097656,0.012144338339567184,0.009120051749050617,0.0030242837965488434,0.0062054176814854145,0.0022861880715936422,0.7006924152374268
0,6,82063,651.5342407226562,0.011857927776873112,0.009090970270335674,0.002766957273706794,0.009090970270335674,0.0024287968408316374,0.8943686485290527
0,7,82539,710.488525390625,0.010418202728033066,0.0066923536360263824,0.0037258497904986143,0.006637405604124069,0.0030870733316987753,0.7178852558135986
0,8,82589,714.4548950195312,0.009610695764422417,0.006651234347373247,0.002959461184218526,0.006651234347373247,0.002662734827026725,0.8372077941894531
0,9,80960,551.50341796875,0.009226837195456028,0.0075067481957376,0.0017200891161337495,0.0075067481957376,0.0013199738459661603,0.6446442008018494
0,10,81268,577.518798828125,0.009166229516267776,0.008709358982741833,0.00045686951489187777,0.008709358982741833,0.00034801909350790083,0.5927854776382446
0,11,79889,478.3293762207031,0.009161232970654964,0.006926247384399176,0.002234987448900938,0.006926247384399176,0.0013861831976100802,0.5871343612670898
0,12,81018,557.1637573242188,0.008184484206140041,0.007900473661720753,0.00028401162126101553,0.007065707352012396,-0.00012862957373727113,0.77787184715271
0,13,82758,734.5697631835938,0.0071674673818051815,0.005577119532972574,0.0015903469175100327,0.005577119532972574,0.0010865397052839398,0.6549038887023926
0,14,80180,496.33990478515625,0.006558429915457964,0.005219725426286459,0.0013387046055868268,0.0031915141735225916,-0.00035480689257383347,0.5116344094276428
