beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,16,246,-230,230,False
2.45,16,246,-230,230,False
2.4,16,246,-230,230,False
2.35,16,246,-230,230,False
2.3,17,246,-229,229,False
2.25,17,246,-229,229,False
2.2,17,246,-229,229,False
2.15,19,246,-227,227,False
2.1,21,246,-225,225,False
2.05,21,246,-225,225,False
2.0,21,246,-225,225,False
1.95,22,246,-224,224,False
1.9,24,246,-222,222,False
1.85,25,246,-221,221,False
1.8,25,246,-221,221,False
1.75,27,246,-219,219,False
1.7,29,246,-217,217,False
1.65,33,246,-213,213,False
1.6,37,246,-209,209,False
1.55,38,246,-208,208,False
1.5,39,246,-207,207,False
1.45,42,246,-204,204,False
1.4,45,246,-201,201,False
1.35,48,246,-198,198,False
1.3,50,246,-196,196,False
1.25,54,246,-192,192,False
1.2,56,246,-190,190,False
1.15,57,246,-189,189,False
1.1,59,246,-187,187,False
1.05,65,246,-181,181,False
1.0,66,246,-180,180,False
0.95,67,246,-179,179,False
0.9,69,246,-177,177,False
0.85,77,246,-169,169,False
0.8,82,246,-164,164,False
0.75,92,246,-154,154,False
0.7,97,246,-149,149,False
0.65,106,246,-140,140,False
0.6,117,246,-129,129,False
0.55,123,246,-123,123,False
0.5,140,246,-106,106,False
0.45,156,246,-90,90,False
0.4,170,246,-76,76,False
0.35,185,246,-61,61,False
0.3,218,246,-28,28,True
0.25,247,246,1,1,True
0.2,296,246,50,50,True
0.15,357,246,111,111,False
0.1,431,246,185,185,False
0.05,492,246,246,246,False
0.0,527,246,281,281,False
