rank,bin_index,mz,score,source_component,pcc_class_0,pcc_class_1,pcc_class_2
67,1075,817.5338745117188,0.1312352016732151,0,-0.4924216325404871,0.45333109133790483,0.07688314442259656
68,572,528.2805786132812,0.08101779969833323,1,-0.3583066369845321,0.3353593696803928,0.049621504354989784
69,192,309.9718322753906,0.05639489701215566,2,0.18867847869065274,-0.17652084844272262,-0.02621495762240266
70,226,329.26092529296875,0.1265583636764601,0,-0.7428442469552631,0.5700539553427291,0.24689097261233037
71,993,770.55810546875,0.08034294869381692,1,-0.7847409581971649,0.6494333045476298,0.20649699594888032
72,1035,794.5499267578125,0.06071934382305122,2,-0.6552631478802816,0.28598312932831277,0.4672030469733899
73,1116,841.4915161132812,0.12582214760669322,0,-0.3177246568009794,0.3001920651623462,0.0407629596944282
74,899,716.5244140625,0.07967756265100708,1,-0.7214309014745937,0.6570738931011576,0.12078969582047468
75,955,748.5305786132812,0.07467870089490639,2,-0.808164204387856,0.5361133400279335,0.3652888483711668
76,1091,826.6913452148438,0.11904680287913429,0,-0.01612608377795315,-0.13293882368503834,0.1724904074305245
77,997,772.6064453125,0.07744450502428019,1,-0.7506258925693431,0.5619713367693538,0.2656415220113886
78,1037,795.6107177734375,0.06339760279529931,2,-0.6152740290613344,0.24486819542614136,0.46590539300635675
79,871,700.5263671875,0.11666333413152777,0,-0.6866538185312786,0.49076411569752454,0.2698156171066568
80,775,645.3106689453125,0.10469330625928232,1,0.4189511706581909,-0.27608480849591127,-0.19147638748452844
81,1198,888.56689453125,0.060281859061103955,2,-0.6935019087383578,0.717886441535101,0.016914195934184785
82,185,306.0505065917969,0.11243210349397877,0,0.03596272151755143,0.046536734151660514,-0.09721707775192301
83,962,752.5569458007812,0.07574430301559032,1,-0.6815778584853107,0.40864367704161864,0.3580981901522559
84,990,768.5723266601562,0.061394642442975635,2,-0.7610817998030744,0.6243727076070856,0.20657501790498314
85,649,572.5012817382812,0.11058523572119655,0,-0.2765750992019127,-0.0005407560820094771,0.33665135461518925
86,998,773.5536499023438,0.07421274473238536,1,-0.6973897516253522,0.577849233216263,0.18269966317757236
87,1078,819.5236206054688,0.052037893840726754,2,-0.576156460303305,0.5311157058361997,0.08915522953641868
88,781,648.6201171875,0.11036803402949387,0,-0.14908244061566703,-0.00984158452597585,0.19244929709026143
89,62,235.00828552246094,0.07280255725666754,1,0.24709252581123198,-0.1596691219401037,-0.11656783495888394
90,996,772.517333984375,0.06399355871480725,2,-0.7507336054377284,0.5648689726661607,0.26243971343309025
91,695,599.3128662109375,0.11030479243496549,0,-0.25581563891014114,0.07032481577920767,0.22992424804062297
92,903,718.5474853515625,0.06835420124017473,1,-0.5523899668337579,0.23019177784210282,0.40638325951655013
93,1036,795.5226440429688,0.059507252308087795,2,-0.6540234984559359,0.3790997667394866,0.3586000947879646
94,1212,896.5917358398438,0.10827335136900616,0,-0.12850400956666236,-0.1127249289784993,0.2857770616264096
95,989,768.500732421875,0.06671186587587638,1,-0.7621290870576745,0.6250884941804202,0.20702418449082952
96,1146,858.5422973632812,0.04268315728912607,2,-0.6852690671636783,0.632736194827393,0.10484595652809556
97,850,688.5309448242188,0.10816229513987624,0,-0.4232868079400555,0.06255248241923014,0.44233530878402755
98,1030,791.5820922851562,0.06347564855876409,1,-0.5338701489268018,0.42771914664850036,0.1566989189601404
99,211,320.845458984375,0.06246210189544696,2,0.15358929533686702,-0.2042699438471687,0.04833245640532869
100,476,473.27764892578125,0.10600236943798601,0,0.4152456184384911,-0.3155665799999182,-0.14156485005656333
101,956,749.5216064453125,0.06279666189393869,1,-0.7574011524712828,0.533521380679584,0.306594559885891
102,946,743.539794921875,0.06176394810930006,2,-0.7325329603009065,0.6975652927857803,0.08770769610639477
103,842,683.600341796875,0.09639630480360455,0,-0.22331689674049568,-0.045771706118636304,0.3239661911919019
104,1151,861.5684204101562,0.05986745136019687,1,-0.7367935458511069,0.6312436063081539,0.16916313940160196
105,319,383.1151428222656,0.04709206757412864,2,0.5190957190149826,-0.3813470274725426,-0.1920827403944337
106,779,647.603759765625,0.09364689453577217,0,-0.20297902765672937,-0.016836085932372142,0.265976461001997
107,953,747.5208740234375,0.05943583150782762,1,-0.6820519104418006,0.6781272177471692,0.04873135889582476
108,412,436.291015625,0.07230385022805765,2,-0.32624420057141934,0.03597960524446279,0.35499424515609335
109,922,729.56494140625,0.09026557728165494,0,-0.5197362735422648,0.3248630007394815,0.25782531910162215
110,1245,915.5947265625,0.08612796071078628,1,0.39605795613724526,-0.3141892086795345,-0.11983665260415231
111,1190,883.5945434570312,0.040842558409083594,2,-0.7445216337247532,0.5446320811230052,0.2781675599577373
112,1003,776.5454711914062,0.08584041263204323,0,-0.723427046716968,0.42156226612247794,0.39408540391857655
113,1144,857.5206909179688,0.056918434801089504,1,-0.7444788772313187,0.6731612325254136,0.13028957631812868
114,295,369.1513977050781,0.04065270059917401,2,0.6040003903383199,-0.4532750764040807,-0.2125119943001159
115,1118,842.5563354492188,0.08554192193482331,0,-0.48970536960598676,0.4612208028035042,0.0645087334856185
116,904,719.5262451171875,0.05611723382676007,1,-0.43313180507226967,0.21415604405105146,0.2799318964950947
117,218,324.8853759765625,0.03888897573020978,2,0.1343076714355878,-0.17508319731972838,0.0381902435728774
118,689,595.5460205078125,0.08465429056287674,0,-0.11025407208826192,-0.12909118213774262,0.2824274245053885
119,1031,792.5427856445312,0.0555950235021809,1,-0.6645601998888628,0.3596763572935945,0.39374139868964086
120,1106,835.5479125976562,0.0498318182661243,2,-0.7069785947365431,0.6093428381605663,0.1581278473211203
121,1207,893.6530151367188,0.08104219479186933,0,-0.13567240516854026,-0.05334694004774888,0.22619364295951955
122,173,299.12841796875,0.059300243552012195,1,0.7038756344734357,-0.4921011062162838,-0.28920182100145914
123,368,411.1654052734375,0.03711708226849024,2,0.20486599553117926,-0.1348352260655525,-0.09382638958720241
124,868,698.5255126953125,0.07956163306400141,0,-0.5582818374493802,0.5378100356066533,0.05973877469196351
125,246,341.18316650390625,0.0503264485951732,1,0.5450216395128699,-0.3822467814493286,-0.22254701916693437
126,222,327.1937255859375,0.04074412748478582,2,0.8226490678805348,-0.577051315070074,-0.3358032196549074
127,844,684.6171264648438,0.07479478498050439,0,-0.2189945847602171,-0.04059487242845092,0.3127606639322731
128,231,332.2733154296875,0.048462685157452584,1,-0.5145575538015867,0.4427869357919295,0.11590475719056066
