rank,bin_index,mz,score,source_component,pcc_class_0,pcc_class_1,pcc_class_2
1,146,283.264892578125,1.0,0,0.8292886021227007,-0.5703121773962047,-0.3516209562010992
2,1193,885.5479736328125,1.0,1,-0.8227036293201068,0.6237401348808727,0.28217100592532124
3,219,325.1960144042969,0.9989407017908961,2,0.863885334395062,-0.6062138184964029,-0.3523630395233756
4,3,201.05221557617188,0.9960928455661032,0,0.5042186285700014,-0.3773238926198033,-0.1786347308126249
5,142,281.2275695800781,0.9372802820469831,1,-0.43349604911994777,0.46752830036598286,-0.011038175486361561
6,1195,886.5545043945312,0.5284661057043251,2,-0.8211217401641132,0.6244305132898412,0.27945503475475997
7,386,421.3146057128906,0.8276375410798691,0,-0.07468166062679944,-0.1349996023691698,0.24600363338316675
8,139,279.2406921386719,0.8498790045816842,1,-0.6349074326344434,0.631440270864453,0.045148759345713836
9,243,339.22589111328125,0.39656630972550727,2,0.8625142514274315,-0.6098503147458524,-0.346514753838214
10,97,255.2320556640625,0.5912205838205401,0,0.8264788242419358,-0.5486664946372135,-0.37310265525490927
11,194,311.2024230957031,0.5763867674621906,1,0.7248677218573766,-0.485394422241347,-0.32242009905749147
12,948,744.5546264648438,0.41287420877664094,2,-0.7949682486397815,0.6534031931661906,0.21435689587712395
13,342,396.1517028808594,0.4565075827737902,0,0.7511650220244442,-0.5036333922795803,-0.333393130691528
14,986,766.5349731445312,0.2903007663359424,1,-0.6735902528563792,0.36834239097651067,0.39474548882697014
15,1024,788.541015625,0.3338682171446883,2,-0.7963667077712875,0.5300528383952823,0.35792569074208364
16,255,346.0585632324219,0.399579583360111,0,0.22256450272063885,-0.13614824480924195,-0.11381932806714107
17,10,205.13299560546875,0.28221859192098414,1,0.40884680272653046,-0.2754740404893984,-0.1799023878815315
18,366,410.15045166015625,0.35854502542924227,2,0.7331255439413009,-0.48826903567412516,-0.32914687708980417
19,182,304.2160339355469,0.2995660037837938,0,-0.7452414076508761,0.5416393462315128,0.28248411386558214
20,220,326.16900634765625,0.21611135021485223,1,0.8576393498731786,-0.6013960653047642,-0.350315451703229
21,196,312.1770324707031,0.18053534874670865,2,0.8587342322378653,-0.6038351124808371,-0.34884046025772064
22,288,365.3104248046875,0.2663272121063794,0,-0.30805959653941134,0.021973889087424373,0.34900904679670725
23,144,282.2485656738281,0.19676469398194932,1,-0.49125286167398036,0.49881666058390656,0.023148525317072476
24,849,687.5478515625,0.21138265342280155,2,-0.40528078330378176,0.036151014003849236,0.4508238823562405
25,958,750.5371704101562,0.25250735211907416,0,-0.8168757710521645,0.5271396772347821,0.38619404271817964
26,1197,887.6060180664062,0.16319760899611174,1,-0.713823940529681,0.691000817502326,0.07252690946402214
27,413,437.2169494628906,0.15752054048474465,2,0.6343173060107988,-0.42698596248992915,-0.2795820865202249
28,462,465.2990417480469,0.24332232037763987,0,-0.30120964434928665,0.13316623908150568,0.21280023384332836
29,1196,887.5460815429688,0.14705150145051876,1,-0.7138796995554891,0.6910319643810539,0.07255883164434344
30,944,742.5349731445312,0.1359339130511431,2,-0.7507061697007285,0.6985859710679988,0.10861361311275396
31,586,536.500732421875,0.22689024896183368,0,-0.2887817286068715,0.0487165201824053,0.2948294184769328
32,114,265.1258239746094,0.1942654131492556,1,0.5582959021385437,-0.3769177796116229,-0.2448038784450875
33,629,561.458740234375,0.169256749841755,2,0.5388746388624006,-0.35233972659435486,-0.2494758086881127
34,778,646.6528930664062,0.22359648641117988,0,-0.22816895778211083,0.00012204693775574358,0.2770772126625587
35,1026,789.54736328125,0.2064073040953537,1,-0.799526568763665,0.5376563224899906,0.3530197725383568
36,581,533.474365234375,0.13108823632336383,2,0.413603588073607,-0.2695446285447354,-0.1925013531487263
37,99,256.2455749511719,0.2155532560390599,0,0.7980153208350673,-0.5274331523500386,-0.3629416958546342
38,245,340.214111328125,0.13432878715230842,1,0.8396933805364373,-0.5918874548591246,-0.3394479021555156
39,387,422.3010559082031,0.18608290683486267,2,-0.11480209526275868,-0.105376981590918,0.26067855753245
40,147,284.24432373046875,0.21086379035687214,0,0.8111953897525723,-0.5573997271857307,-0.34448939083276775
41,950,745.5685424804688,0.1339626300969316,1,-0.7924414521141598,0.6613125249095094,0.20219011424006456
42,159,291.02008056640625,0.09466123991363981,2,0.31066611555021856,-0.2036895379007829,-0.14317812491225043
43,316,381.300048828125,0.19331711248907252,0,-0.1455650349177902,-0.12434821678466614,0.31987399626431146
44,36,220.14834594726562,0.11728675249986702,1,0.44997327413171423,-0.3031774903441091,-0.198006920797988
45,909,722.4974365234375,0.1091985180609221,2,-0.8147385834002726,0.6111203501194967,0.28700821583879865
46,152,286.95404052734375,0.18600564135656666,0,-0.05781262829861603,0.05748822541415515,0.0041211003964294855
47,949,745.4909057617188,0.11278179035022592,1,-0.7924912291359223,0.6611766207937639,0.20240689989134933
48,117,266.79632568359375,0.09776660125213818,2,0.11785755966294072,-0.24085347184944134,0.13382135097725664
49,777,646.567138671875,0.18537399572760557,0,-0.22757459674968025,2.1743149539698195e-05,0.27647044708977614
50,988,767.5430908203125,0.11109762398701956,1,-0.6647921506560874,0.363252102623432,0.38991061672655364
