dataset,variant,training_seed,evaluation_seed,matched_peak_count,mscf1,gmm_balanced_accuracy,ig_faithfulness_mean_drop,attribution_seconds,training_seconds,peak_gpu_memory_bytes,final_total_loss
GBM108_positive,central_only,1,1,530,0.504671538259825,0.8715161284810234,0.09633819277708729,459.96066024294123,40178.6248411024,2197542912,571501.8782894737
GBM108_positive,central_only,2,1,530,0.49898763494981063,0.8731599253432369,0.114214522143205,520.7783740600571,42353.07003011415,2197544448,571406.4274203284
GBM108_positive,central_only,3,1,530,0.5324345045711188,0.8788560161161394,0.1255292963857452,538.9776885118335,41150.52818459552,2197544448,571514.6613652825
GBM108_positive,uniform_mean,1,1,530,0.5276884667868157,0.8928104891612886,0.14255634291718403,443.1713056010194,40608.85743821319,3112133632,571563.3307580879
GBM108_positive,uniform_mean,2,1,530,0.5366418093493334,0.8855641123496945,0.1310624728600184,524.8739469721913,42351.97736650566,3112135168,571521.4235574602
GBM108_positive,uniform_mean,3,1,530,0.5107100579226548,0.842141388365165,0.09369139807919662,498.6275239456445,42086.57868968416,3112135168,571397.8150048286
GBM108_positive,attention_sqrt_bins,1,1,530,0.5623974710106552,0.8892352428528301,0.12823115413387617,466.485452583991,40292.03918469278,3431257088,571614.5864316755
GBM108_positive,attention_sqrt_bins,2,1,530,0.5486060021104254,0.8825561017473708,0.1084901662543416,504.3759174081497,40455.21263633622,3431258624,571356.9335465959
GBM108_positive,attention_sqrt_bins,3,1,530,0.5251592802474462,0.8748673285524144,0.11705433359990518,505.8945899726823,40066.68368830066,3431258624,571460.1985453886
