rank,bin_index,mz,score,source_component,pcc_class_0,pcc_class_1,pcc_class_2
1,219,325.1968688964844,1.0,0,0.8248411852672511,-0.5462827527618908,-0.3964696524472603
2,146,283.2667541503906,1.0,1,0.8106196396128874,-0.5171079341355133,-0.41019499845907403
3,1193,885.548095703125,1.0,2,-0.8335392356474544,0.5050912818343722,0.4495158280569766
4,386,421.3142395019531,0.9559498437627719,0,-0.12734693725747454,-0.025131618233730977,0.17514373824310578
5,97,255.2321319580078,0.5192356715618301,1,0.8453366326420501,-0.5353222996950022,-0.4318551397205948
6,142,281.2320861816406,0.5165601311293463,2,-0.37899326777459014,0.38703477411675985,0.040592450594977576
7,194,311.1901550292969,0.6321664695751629,0,0.8255559451770013,-0.5450716362168567,-0.3985663459728178
8,986,766.53759765625,0.3322121549081094,1,-0.75365036556476,0.31365196157241354,0.555291146093717
9,1195,886.554443359375,0.47696955685358494,2,-0.8300340658849504,0.5083434788730727,0.44203027480133505
10,255,346.05865478515625,0.3498750701813021,0,0.3122278275240235,-0.21171950181406518,-0.14494027600412532
11,41,223.0374755859375,0.29040988017577624,1,0.793656827251156,-0.5192516571581349,-0.38811848108171604
12,948,744.5601196289062,0.42056397946490964,2,-0.7650120450603127,0.521424818219638,0.3523441454549604
13,243,339.2188415527344,0.25777209594584827,0,0.7831710717660916,-0.5277102935998149,-0.36704747687777634
14,299,371.3907165527344,0.24702448350888404,1,0.054500527602641305,-0.03311257525030372,-0.029300348732861366
15,1024,788.54150390625,0.35096605688081,2,-0.7460872148520316,0.423926087914653,0.43167500538669085
16,870,699.6401977539062,0.22027962692424585,0,0.6616991255725585,-0.41702496608284756,-0.3401285093837235
17,592,540.024169921875,0.24686967301291768,1,0.1925164257098438,-0.10846387743330119,-0.11234857774807355
18,3,201.0541534423828,0.23307068111620635,2,0.39066685327625755,-0.31512657428484,-0.1290882329070008
19,387,422.3006896972656,0.2166758663741696,0,-0.16280402781299802,0.0015268993755284286,0.18888150214627572
20,139,279.2467346191406,0.237152872731215,1,-0.47413446939529635,0.5050928353942234,0.029032911242214122
21,849,687.5487060546875,0.21002031513901076,2,-0.6802003386975981,0.2814136190715405,0.5029112005975106
22,909,722.4953002929688,0.17249344629391242,0,-0.8076124949224748,0.5200681826642617,0.40359594888552247
23,704,604.344482421875,0.20825317542821553,1,0.03757644040082754,-0.02182032897730753,-0.02125261344003568
24,147,284.2462463378906,0.15825980922361868,2,0.7859370071153574,-0.5018265568300235,-0.3972219315100719
25,220,326.1615905761719,0.16823448302851216,0,0.7666411091346879,-0.507878606574239,-0.3683482601490015
26,170,297.1830139160156,0.19916751443212843,1,0.7968092520922203,-0.5251964000714501,-0.3856196355462563
27,873,701.5191650390625,0.14178900882909634,2,-0.7117086094596229,0.4085759596049499,0.4074298036864604
28,196,312.17584228515625,0.14080815090928772,0,0.7721971398174147,-0.5058912145624622,-0.37691684858031793
29,910,722.5616455078125,0.19541181815227043,1,-0.8078215827650412,0.5197912829906772,0.404128751851549
30,944,742.5319213867188,0.19409963443654538,2,-0.6569485250432601,0.521679995381028,0.22565094955034
31,36,220.15255737304688,0.11345630801693755,0,0.2794286675946707,-0.2111372670977482,-0.10717325223001772
32,71,240.281494140625,0.17972742924374238,1,0.04636802786135288,-0.02905102926980248,-0.024012879362398973
33,958,750.5391235351562,0.15865311268880714,2,-0.8115866371327184,0.5079060793386868,0.4209031498392295
34,1196,887.544189453125,0.08095470398560364,0,-0.7371681663542113,0.5600781552143548,0.27954009858853285
35,617,554.3067626953125,0.16985392601429328,1,0.034426324798037436,-0.006736777710347133,-0.03326536931585219
36,10,205.1346435546875,0.11832861781991884,2,0.3484525845250522,-0.24034027901517274,-0.15753394171087626
37,1122,844.57958984375,0.07136060044581498,0,-0.5921224624322946,0.3335829528234495,0.34557034542573445
38,950,745.5712890625,0.1501561233016767,1,-0.7479457803640865,0.51859697576579,0.3353207486990844
39,1026,789.547607421875,0.14086317928299422,2,-0.7465781813254855,0.4326202054585938,0.4232010087173533
40,340,395.24664306640625,0.0681533820049934,0,0.5757527902946786,-0.3713055831354963,-0.2871590414088527
41,988,767.5443725585938,0.1477161044946762,1,-0.7380969410000192,0.3176745974788733,0.5329080477566699
42,99,256.2456970214844,0.10632154063255425,2,0.8115338899963245,-0.5125373727525211,-0.41602142343967896
43,1035,794.556396484375,0.08253090069376488,0,-0.6963278458421436,0.27202088627672777,0.5315548647109781
44,1247,916.6025390625,0.10067419322530848,1,0.549517406739732,-0.3656532324119255,-0.2623479489974994
45,144,282.25048828125,0.0719699994456522,2,-0.43350693826825276,0.4189211303169958,0.07118436235099569
46,159,291.0244445800781,0.0667466394241709,0,0.5718746583005637,-0.3724414163833931,-0.28143974965727847
47,1422,1017.2807006835938,0.10003025673080251,1,0.03620935403002371,-0.0459006854790147,0.005408407784220576
48,389,423.30804443359375,0.06592327609897482,2,-0.3105627966274939,0.1290879611075655,0.22899101371703456
49,1197,887.6090698242188,0.06624170487780169,0,-0.7368969147117702,0.560096852460948,0.27920329183267806
50,51,228.81886291503906,0.09553869447189162,1,-0.013195942775312065,-0.017331703891083572,0.03347639435770748
