beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,464,1014,-550,550,False
2.45,476,1014,-538,538,False
2.4,485,1014,-529,529,False
2.35,496,1014,-518,518,False
2.3,516,1014,-498,498,False
2.25,529,1014,-485,485,False
2.2,546,1014,-468,468,False
2.15,560,1014,-454,454,False
2.1,575,1014,-439,439,False
2.05,587,1014,-427,427,False
2.0,603,1014,-411,411,False
1.95,620,1014,-394,394,False
1.9,642,1014,-372,372,False
1.85,653,1014,-361,361,False
1.8,676,1014,-338,338,False
1.75,689,1014,-325,325,False
1.7,713,1014,-301,301,False
1.65,734,1014,-280,280,False
1.6,747,1014,-267,267,False
1.55,766,1014,-248,248,False
1.5,786,1014,-228,228,False
1.45,813,1014,-201,201,False
1.4,839,1014,-175,175,False
1.35,860,1014,-154,154,False
1.3,882,1014,-132,132,False
1.25,910,1014,-104,104,False
1.2,934,1014,-80,80,False
1.15,957,1014,-57,57,False
1.1,993,1014,-21,21,True
1.05,1028,1014,14,14,True
1.0,1050,1014,36,36,True
