beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,478,981,-503,503,False
2.45,488,981,-493,493,False
2.4,501,981,-480,480,False
2.35,510,981,-471,471,False
2.3,517,981,-464,464,False
2.25,528,981,-453,453,False
2.2,538,981,-443,443,False
2.15,551,981,-430,430,False
2.1,561,981,-420,420,False
2.05,569,981,-412,412,False
2.0,587,981,-394,394,False
1.95,603,981,-378,378,False
1.9,620,981,-361,361,False
1.85,636,981,-345,345,False
1.8,649,981,-332,332,False
1.75,663,981,-318,318,False
1.7,682,981,-299,299,False
1.65,698,981,-283,283,False
1.6,715,981,-266,266,False
1.55,728,981,-253,253,False
1.5,744,981,-237,237,False
1.45,763,981,-218,218,False
1.4,776,981,-205,205,False
1.35,799,981,-182,182,False
1.3,829,981,-152,152,False
1.25,857,981,-124,124,False
1.2,885,981,-96,96,False
1.15,915,981,-66,66,False
1.1,950,981,-31,31,True
1.05,986,981,5,5,True
1.0,1014,981,33,33,True
