beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,453,691,-238,238,False
2.45,462,691,-229,229,False
2.4,477,691,-214,214,False
2.35,490,691,-201,201,False
2.3,497,691,-194,194,False
2.25,514,691,-177,177,False
2.2,527,691,-164,164,False
2.15,539,691,-152,152,False
2.1,547,691,-144,144,False
2.05,563,691,-128,128,False
2.0,575,691,-116,116,False
1.95,590,691,-101,101,False
1.9,599,691,-92,92,False
1.85,615,691,-76,76,False
1.8,626,691,-65,65,False
1.75,645,691,-46,46,True
1.7,653,691,-38,38,True
1.65,672,691,-19,19,True
1.6,691,691,0,0,True
1.55,706,691,15,15,True
1.5,722,691,31,31,True
1.45,741,691,50,50,True
1.4,766,691,75,75,False
1.35,792,691,101,101,False
1.3,823,691,132,132,False
1.25,836,691,145,145,False
1.2,857,691,166,166,False
1.15,876,691,185,185,False
1.1,908,691,217,217,False
1.05,943,691,252,252,False
1.0,980,691,289,289,False
