beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,11,257,-246,246,False
2.45,13,257,-244,244,False
2.4,13,257,-244,244,False
2.35,14,257,-243,243,False
2.3,14,257,-243,243,False
2.25,15,257,-242,242,False
2.2,16,257,-241,241,False
2.15,16,257,-241,241,False
2.1,16,257,-241,241,False
2.05,16,257,-241,241,False
2.0,16,257,-241,241,False
1.95,17,257,-240,240,False
1.9,18,257,-239,239,False
1.85,19,257,-238,238,False
1.8,19,257,-238,238,False
1.75,19,257,-238,238,False
1.7,19,257,-238,238,False
1.65,19,257,-238,238,False
1.6,20,257,-237,237,False
1.55,20,257,-237,237,False
1.5,21,257,-236,236,False
1.45,22,257,-235,235,False
1.4,22,257,-235,235,False
1.35,24,257,-233,233,False
1.3,25,257,-232,232,False
1.25,26,257,-231,231,False
1.2,29,257,-228,228,False
1.15,30,257,-227,227,False
1.1,33,257,-224,224,False
1.05,35,257,-222,222,False
1.0,39,257,-218,218,False
0.95,41,257,-216,216,False
0.9,42,257,-215,215,False
0.85,48,257,-209,209,False
0.8,53,257,-204,204,False
0.75,55,257,-202,202,False
0.7,62,257,-195,195,False
0.65,64,257,-193,193,False
0.6,73,257,-184,184,False
0.55,78,257,-179,179,False
0.5,87,257,-170,170,False
0.45,102,257,-155,155,False
0.4,118,257,-139,139,False
0.35,145,257,-112,112,False
0.3,168,257,-89,89,False
0.25,201,257,-56,56,False
0.2,255,257,-2,2,True
0.15,331,257,74,74,False
0.1,403,257,146,146,False
0.05,482,257,225,225,False
0.0,522,257,265,265,False
