beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,686,696,-10,10,True
2.45,695,696,-1,1,True
2.4,704,696,8,8,True
2.35,712,696,16,16,True
2.3,734,696,38,38,True
2.25,742,696,46,46,True
2.2,750,696,54,54,False
2.15,764,696,68,68,False
2.1,779,696,83,83,False
2.05,794,696,98,98,False
2.0,806,696,110,110,False
1.95,818,696,122,122,False
1.9,834,696,138,138,False
1.85,848,696,152,152,False
1.8,856,696,160,160,False
1.75,880,696,184,184,False
1.7,897,696,201,201,False
1.65,912,696,216,216,False
1.6,930,696,234,234,False
1.55,961,696,265,265,False
1.5,981,696,285,285,False
1.45,998,696,302,302,False
1.4,1016,696,320,320,False
1.35,1036,696,340,340,False
1.3,1056,696,360,360,False
1.25,1081,696,385,385,False
1.2,1115,696,419,419,False
1.15,1139,696,443,443,False
1.1,1171,696,475,475,False
1.05,1201,696,505,505,False
1.0,1234,696,538,538,False
