rank,bin_index,mz,score,pcc_class_1,pcc_class_2
262,76469,319.59320068359375,1.2923074960708618,-0.21832669672840738,0.2183266967284074
263,76250,300.76300048828125,1.2920899391174316,-0.2473426372840051,0.24734263728400513
264,80967,551.9664306640625,1.2908546924591064,-0.5101221313991979,0.5101221313991979
265,81065,560.8870239257812,1.2889621257781982,-0.08110835842658955,0.08110835842658956
266,81565,604.0039672851562,1.2888129949569702,0.10971679069037185,-0.10971679069037185
267,81722,616.4320678710938,1.2886168956756592,-0.2524953481273917,0.25249534812739177
268,79413,449.02691650390625,1.2871623039245605,0.11521687707075991,-0.11521687707075992
269,79940,481.92425537109375,1.2870793342590332,-0.32540756164737494,0.325407561647375
270,82151,660.8297119140625,1.2868547439575195,0.019231093950358463,-0.01923109395035846
271,80486,518.3003540039062,1.2867872714996338,0.39873051717648433,-0.39873051717648433
272,76356,308.0726318359375,1.2857685089111328,-0.40362748393593495,0.403627483935935
273,5631,117.1080322265625,1.2857184410095215,0.03185453337689038,-0.03185453337689043
274,66994,154.5497589111328,1.2849202156066895,-0.14336466092561584,0.14336466092561584
275,82699,728.4705200195312,1.2847633361816406,0.11278085505536879,-0.11278085505536878
276,69110,175.7870635986328,1.2842226028442383,0.0138721686097725,-0.013872168609772495
277,79698,466.0890197753906,1.284080982208252,-0.5159705382063827,0.5159705382063828
278,81689,615.01806640625,1.2832516431808472,-0.04565949690997993,0.04565949690997991
279,81957,638.4308471679688,1.2827081680297852,0.019231093950358543,-0.019231093950358547
280,81606,606.8862915039062,1.2826242446899414,-0.12545542029707937,0.12545542029707937
281,77998,398.3629150390625,1.2825907468795776,-0.05452529279913368,0.054525292799133686
282,76727,356.6833190917969,1.2824130058288574,0.30772758502579717,-0.3077275850257972
283,81539,601.9949340820312,1.279428243637085,0.14152887299936573,-0.1415288729993657
284,81731,616.6961669921875,1.2782455682754517,-0.09235130356596494,0.09235130356596495
285,66896,154.052001953125,1.2779467105865479,-0.2612146356151038,0.26121463561510383
286,11,102.69877624511719,1.2776415348052979,-0.3273566596313703,0.32735665963137034
287,0,101.92382049560547,1.2771804332733154,0.07041317355325544,-0.07041317355325545
288,80649,528.939697265625,1.2766679525375366,-0.07499526237559707,0.07499526237559709
289,82456,703.86474609375,1.2765461206436157,-0.025307606150546783,0.025307606150546783
290,82213,669.5018920898438,1.275622844696045,0.025884529730250523,-0.02588452973025052
291,78191,402.8160095214844,1.2744221687316895,-0.20184729877504334,0.20184729877504334
292,76377,308.6323547363281,1.2744053602218628,-0.2230782581471281,0.2230782581471281
293,79270,441.8996887207031,1.2736308574676514,-0.08806246567760984,0.08806246567760985
294,82531,709.9639892578125,1.2734763622283936,-0.04170812049784825,0.04170812049784826
295,81878,629.184326171875,1.2718019485473633,-0.13660376154425802,0.13660376154425805
296,80406,510.0184020996094,1.2702423334121704,-0.09022427588039346,0.09022427588039346
297,82452,703.2071533203125,1.269831895828247,-0.03247242313582674,0.032472423135826746
298,66939,154.2931365966797,1.2673794031143188,-0.21188062823718107,0.2118806282371811
299,80350,506.0083312988281,1.2673215866088867,-0.03552204855048737,0.03552204855048738
300,82563,712.1857299804688,1.2671260833740234,0.09410326158768714,-0.09410326158768714
301,77131,372.34716796875,1.266664743423462,-0.05654987339788295,0.056549873397882935
302,81732,616.6979370117188,1.2666637897491455,-0.09824477731921986,0.09824477731921988
303,79174,436.8578186035156,1.2663514614105225,-0.11491977214483674,0.11491977214483674
304,81301,580.0238037109375,1.2654646635055542,0.38685152587904204,-0.386851525879042
305,78913,426.1396484375,1.2652974128723145,0.011094319277752262,-0.011094319277752255
306,82348,688.1138305664062,1.2651891708374023,0.1137313087558368,-0.11373130875583687
307,80139,494.11846923828125,1.2644288539886475,-0.32700398636440814,0.32700398636440814
308,76365,308.1441650390625,1.2639634609222412,-0.2173030281202305,0.21730302812023053
309,81978,640.965576171875,1.2638185024261475,0.13551466570249157,-0.1355146657024916
310,80618,527.2279663085938,1.2604855298995972,0.019231093950358432,-0.019231093950358435
311,78935,426.4429016113281,1.2603415250778198,-0.03577056006189188,0.03577056006189189
312,81251,576.306396484375,1.260009527206421,0.3663993850187615,-0.36639938501876157
313,81753,617.7119140625,1.2591432332992554,-0.13807337276044665,0.13807337276044665
314,72552,205.74429321289062,1.2590725421905518,-0.10889968159222496,0.10889968159222499
315,81729,616.6863403320312,1.2586536407470703,-0.10270469319314467,0.10270469319314467
316,81338,583.1981811523438,1.2580021619796753,0.02866994976023859,-0.02866994976023859
317,80434,512.1612548828125,1.2560210227966309,-0.3056776444239295,0.30567764442392953
318,80147,494.8507995605469,1.2558141946792603,-0.055856074055226794,0.0558560740552268
319,82194,666.1322631835938,1.2555551528930664,0.21182820653237186,-0.21182820653237186
320,82770,735.3392944335938,1.2553762197494507,0.033053668211909776,-0.033053668211909776
321,82680,725.9383544921875,1.2548861503601074,-0.24075092237528503,0.2407509223752851
322,75820,271.0372314453125,1.2547489404678345,0.18862106063234882,-0.18862106063234882
323,79618,461.3497314453125,1.254062294960022,0.01923109395035839,-0.01923109395035839
324,80018,485.2771301269531,1.2530138492584229,0.019231093950358318,-0.01923109395035832
325,79437,449.97637939453125,1.2510273456573486,-0.24953420170778068,0.2495342017077807
326,81831,623.2512817382812,1.2507858276367188,0.0477509153354816,-0.047750915335481606
327,79666,464.9541931152344,1.2500741481781006,-0.1873953296363037,0.18739532963630373
328,81425,589.9224853515625,1.249380350112915,-0.5015834654976602,0.5015834654976602
329,82174,663.9697875976562,1.2492283582687378,-0.22548584995939078,0.22548584995939083
330,81685,614.9701538085938,1.2481064796447754,-0.1274502768262279,0.1274502768262279
331,81644,610.57666015625,1.247429609298706,-0.04846392046870642,0.048463920468706435
332,69340,178.6185760498047,1.2467907667160034,0.331162967548512,-0.33116296754851193
333,75382,249.07568359375,1.2466922998428345,-0.39696947129123955,0.3969694712912396
334,79604,461.2408447265625,1.2466239929199219,0.019231093950358435,-0.019231093950358435
335,80891,546.9620971679688,1.2457793951034546,-0.1623036097131118,0.1623036097131118
336,81255,576.571533203125,1.2450610399246216,0.3699410338454161,-0.36994103384541605
337,76360,308.0928955078125,1.2415202856063843,-0.07474590399528551,0.0747459039952855
338,81693,615.1201782226562,1.2414394617080688,0.09106644957703873,-0.09106644957703876
339,80419,511.07562255859375,1.2399709224700928,-0.2528126825717263,0.2528126825717263
