rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,82758,734.5697631835938,1.0,0,0.8845103856655493,-0.8845103856655493
2,82576,713.4511108398438,0.8143771366410183,1,0.850649617974775,-0.850649617974775
3,81717,616.1770629882812,0.872331786922825,0,0.32819134597088784,-0.32819134597088784
4,80960,551.50341796875,0.663295646177311,1,0.854823481606244,-0.854823481606244
5,79415,449.0477600097656,0.6455799039406178,0,-0.6583247377381392,0.6583247377381392
6,82420,697.4774780273438,0.49965778261615523,1,0.8303921464242092,-0.8303921464242092
7,82539,710.488525390625,0.4983679729287196,0,0.9033926417773823,-0.9033926417773823
8,82063,651.5342407226562,0.48181088178098813,1,0.8138586326577547,-0.8138586326577547
9,79889,478.3293762207031,0.4966527125859622,0,0.7512155135291781,-0.7512155135291781
10,79668,465.0216979980469,0.3597323423185078,1,-0.6648353721256238,0.6648353721256238
11,80180,496.33990478515625,0.4643607138958629,0,0.7116933393534542,-0.7116933393534542
12,82589,714.4548950195312,0.34495138990376295,1,0.8547575206256461,-0.8547575206256461
13,82728,731.6066284179688,0.4229960430084052,0,0.9138659886091617,-0.9138659886091617
14,81742,617.1839599609375,0.33767671098158175,1,0.31385770796699436,-0.31385770796699436
15,81869,627.5347290039062,0.34355848160681146,0,0.7177503700168602,-0.7177503700168602
16,80295,503.94818115234375,0.33538852262253166,1,-0.5845587428376923,0.5845587428376923
17,78981,428.0367126464844,0.29973994213905714,1,-0.3957772249341806,0.3957772249341806
18,82380,694.5144653320312,0.3028349252265037,0,0.8855390400537275,-0.8855390400537275
19,82775,735.5729370117188,0.2866296801659208,1,0.8821648553167275,-0.8821648553167275
20,80920,548.540283203125,0.2675045573627333,0,0.9163735327492623,-0.9163735327492623
21,82739,732.5538940429688,0.2708333471935255,1,-0.5470665101745389,0.5470665101745389
22,80375,508.0030212402344,0.265574746206746,0,-0.7779618291281019,0.7779618291281019
23,80978,552.5068969726562,0.25717130036913943,1,0.8547358592198631,-0.8547358592198631
24,79665,464.9471130371094,0.24837976203471238,0,-0.7854239380358916,0.7854239380358916
25,82079,652.5381469726562,0.2352966277006769,1,0.824022105588141,-0.824022105588141
26,77546,385.2737731933594,0.24828793254011572,0,0.8110197187155075,-0.8110197187155075
27,80589,525.9302368164062,0.2293022239657728,1,-0.6383497829817748,0.6383497829817748
28,77038,369.3515625,0.24812424953607684,0,0.8144167615724544,-0.8144167615724544
29,78026,399.1444091796875,0.2208713093357597,1,-0.692972444016713,0.692972444016713
30,79926,480.9211120605469,0.24289602663464688,0,-0.7270380584885823,0.7270380584885823
31,80276,502.9778137207031,0.20465056016243702,1,-0.6304047994472025,0.6304047994472025
32,81595,605.8963012695312,0.22909180220499945,0,-0.7315609254639681,0.7315609254639681
33,80053,487.9745178222656,0.20325452465048108,1,-0.6526818153742209,0.6526818153742209
34,81173,567.9408569335938,0.2283439990175745,0,-0.7596664387618961,0.7596664387618961
35,82426,698.4815063476562,0.20202834117302762,1,0.8357702183538407,-0.8357702183538407
36,80874,545.9591064453125,0.20485318196703417,0,-0.7567443209375232,0.7567443209375232
37,82551,711.4911499023438,0.1855947918498522,1,0.9069656344469385,-0.9069656344469385
38,81347,583.9143676757812,0.2013385683877306,0,-0.7030478399820792,0.7030478399820792
39,78453,409.0555419921875,0.19985256795109704,1,-0.4536263660546641,0.4536263660546641
40,81118,564.2484130859375,0.19562508186879163,0,0.874969802654557,-0.874969802654557
41,81836,623.5029907226562,0.18077109485863987,1,0.8234818889834271,-0.8234818889834271
42,81425,589.9224853515625,0.19473658716297348,0,-0.7475863190763189,0.7475863190763189
43,81296,579.53466796875,0.16640929213892036,1,0.8320452662777751,-0.8320452662777751
44,61508,141.1545867919922,0.18845191572972383,0,0.00802952890806866,-0.00802952890806866
45,81172,567.927978515625,0.18166761270603646,1,-0.7280975836342325,0.7280975836342325
46,77056,370.0522155761719,0.18753745497216462,0,0.21740505200118235,-0.21740505200118235
47,80789,541.904296875,0.15058183053738144,1,-0.4985640929793799,0.4985640929793799
48,82486,706.5377807617188,0.17300339755485208,0,-0.7305088332746004,0.7305088332746004
49,76862,366.9585876464844,0.13677961096990962,1,-0.23263265434917146,0.23263265434917146
50,80676,530.5297241210938,0.1719400038205436,0,0.911852234804664,-0.911852234804664
