component,rank,bin_index,mz,combined_absolute_ig,central_absolute_ig,context_absolute_ig,central_signed_ig,context_signed_ig,first_layer_combined_l2
0,1,82576,713.4511108398438,0.05198488011956215,0.05198488011956215,0.0,0.05198488011956215,0.0,0.42364147305488586
0,2,82486,706.5377807617188,0.026941103860735893,0.026941103860735893,0.0,0.014120706357061863,0.0,0.7675451040267944
0,3,82063,651.5342407226562,0.026226013898849487,0.026226013898849487,0.0,0.014323997311294079,0.0,0.3552102744579315
0,4,80960,551.50341796875,0.02567393146455288,0.02567393146455288,0.0,0.02567393146455288,0.0,0.32781782746315
0,5,82589,714.4548950195312,0.021357933059334755,0.021357933059334755,0.0,0.021357933059334755,0.0,0.4151725172996521
0,6,82455,703.5741577148438,0.017965296283364296,0.017965296283364296,0.0,0.01224972028285265,0.0,0.6212120652198792
0,7,78981,428.0367126464844,0.016109604388475418,0.016109604388475418,0.0,0.008611712604761124,0.0,0.44257014989852905
0,8,78373,408.0080261230469,0.014210089109838009,0.014210089109838009,0.0,0.011098247952759266,0.0,0.47198960185050964
0,9,82739,732.5538940429688,0.014132766984403133,0.014132766984403133,0.0,0.011060037650167942,0.0,0.6624385714530945
0,10,79889,478.3293762207031,0.01374594122171402,0.01374594122171402,0.0,0.011340063996613026,0.0,0.2666454613208771
0,11,78836,423.98193359375,0.012496243230998516,0.012496243230998516,0.0,0.008093394339084625,0.0,0.4494769275188446
0,12,82079,652.5381469726562,0.011669191531836987,0.011669191531836987,0.0,0.006917767226696014,0.0,0.3456791937351227
0,13,82497,707.541015625,0.011247689835727215,0.011247689835727215,0.0,0.006064744666218758,0.0,0.742695689201355
0,14,80295,503.94818115234375,0.010946228168904781,0.010946228168904781,0.0,0.003995463717728853,0.0,0.38896259665489197
0,15,82300,682.45703125,0.010638364590704441,0.010638364590704441,0.0,0.005344759672880173,0.0,0.5626057386398315
0,16,80978,552.5068969726562,0.010589689016342163,0.010589689016342163,0.0,0.010589689016342163,0.0,0.3378700017929077
0,17,78453,409.0555419921875,0.010429829359054565,0.010429829359054565,0.0,0.006292257457971573,0.0,0.26670292019844055
0,18,77564,386.02606201171875,0.009928930550813675,0.009928930550813675,0.0,0.0070427036844193935,0.0,0.45420747995376587
0,19,79415,449.0477600097656,0.008770138956606388,0.008770138956606388,0.0,0.007447894662618637,0.0,0.41226547956466675
0,20,80608,527.0701293945312,0.00869277399033308,0.00869277399033308,0.0,0.003014900954440236,0.0,0.4824063181877136
0,21,81268,577.518798828125,0.00840760674327612,0.00840760674327612,0.0,0.006753716617822647,0.0,0.30242130160331726
0,22,82325,685.42041015625,0.008329194039106369,0.008329194039106369,0.0,0.003142675617709756,0.0,0.7421658039093018
0,23,81172,567.927978515625,0.008012267760932446,0.008012267760932446,0.0,0.0026830013375729322,0.0,0.5790417790412903
0,24,80053,487.9745178222656,0.00793566182255745,0.00793566182255745,0.0,0.0029937608633190393,0.0,0.388863205909729
0,25,76863,366.9617614746094,0.007716376334428787,0.007716376334428787,0.0,0.005198528058826923,0.0,0.36137625575065613
0,26,78452,409.0516357421875,0.0076058171689510345,0.0076058171689510345,0.0,0.006003372371196747,0.0,0.339803546667099
0,27,81763,617.9797973632812,0.0073072537779808044,0.0073072537779808044,0.0,0.004808045458048582,0.0,0.4270703196525574
0,28,81717,616.1770629882812,0.007280146703124046,0.007280146703124046,0.0,0.007161554414778948,0.0,0.46612462401390076
0,29,82539,710.488525390625,0.007105751428753138,0.007105751428753138,0.0,0.006226683035492897,0.0,0.36158546805381775
0,30,82468,704.5783081054688,0.007078096270561218,0.007078096270561218,0.0,0.004884322639554739,0.0,0.6025318503379822
0,31,78026,399.1444091796875,0.006790563929826021,0.006790563929826021,0.0,0.0032168140169233084,0.0,0.3877709209918976
0,32,81347,583.9143676757812,0.006781051401048899,0.006781051401048899,0.0,0.0018756259232759476,0.0,0.5780641436576843
0,33,78454,409.0606689453125,0.006713602226227522,0.006713602226227522,0.0,0.00507287448272109,0.0,0.31072866916656494
0,34,80375,508.0030212402344,0.006679495330899954,0.006679495330899954,0.0,0.003020398085936904,0.0,0.5357692241668701
0,35,82672,725.5563354492188,0.006616417318582535,0.006616417318582535,0.0,0.004236877895891666,0.0,0.6170444488525391
0,36,80874,545.9591064453125,0.006413856986910105,0.006413856986910105,0.0,0.0028536368627101183,0.0,0.5093863010406494
0,37,82420,697.4774780273438,0.006330138072371483,0.006330138072371483,0.0,0.005412158090621233,0.0,0.33122992515563965
0,38,81296,579.53466796875,0.0063198707066476345,0.0063198707066476345,0.0,0.0063198707066476345,0.0,0.4321088492870331
0,39,80717,534.2954711914062,0.006288003176450729,0.006288003176450729,0.0,0.0038027160335332155,0.0,0.4532446265220642
0,40,82601,715.4579467773438,0.006127426866441965,0.006127426866441965,0.0,0.006127426866441965,0.0,0.41447532176971436
0,41,80589,525.9302368164062,0.006067862268537283,0.006067862268537283,0.0,0.0025650302413851023,0.0,0.3676701784133911
0,42,79926,480.9211120605469,0.006005680654197931,0.006005680654197931,0.0,0.000833422876894474,0.0,0.6748355031013489
0,43,82700,728.5203857421875,0.005804235581308603,0.005804235581308603,0.0,0.003454999066889286,0.0,0.6741255521774292
0,44,81173,567.9408569335938,0.005762256216257811,0.005762256216257811,0.0,0.0026193391531705856,0.0,0.4955233335494995
0,45,81424,589.9102172851562,0.0057592932134866714,0.0057592932134866714,0.0,0.0027486488688737154,0.0,0.538776159286499
0,46,80313,504.3448791503906,0.005711648613214493,0.005711648613214493,0.0,0.004863048437982798,0.0,0.30417630076408386
0,47,82600,715.4495239257812,0.005627323407679796,0.005627323407679796,0.0,0.005627323407679796,0.0,0.43448811769485474
0,48,79421,449.2068176269531,0.005598649848252535,0.005598649848252535,0.0,0.0027827115263789892,0.0,0.3367622196674347
0,49,81595,605.8963012695312,0.005565773695707321,0.005565773695707321,0.0,0.002142351819202304,0.0,0.5463178753852844
0,50,81594,605.88427734375,0.0055318367667496204,0.0055318367667496204,0.0,0.0014114477671682835,0.0,0.6215665936470032
1,1,82576,713.4511108398438,0.0006132231210358441,0.0006132231210358441,0.0,-8.138205885188654e-05,0.0,0.42364147305488586
1,2,80960,551.50341796875,0.0004890185664407909,0.0004890185664407909,0.0,-0.00014757267490494996,0.0,0.32781782746315
1,3,82486,706.5377807617188,0.0004762084863614291,0.0004762084863614291,0.0,0.0004762084863614291,0.0,0.7675451040267944
