mz_peak
1.022655792236328125e+02
1.122634963989257812e+02
1.189116363525390625e+02
1.223217849731445312e+02
1.224301528930664062e+02
1.229882888793945312e+02
1.240872116088867188e+02
1.284263916015625000e+02
1.286773071289062500e+02
1.360045166015625000e+02
1.363460540771484375e+02
1.363538208007812500e+02
1.365208587646484375e+02
1.366881408691406250e+02
1.408810119628906250e+02
1.411545867919921875e+02
1.426920013427734375e+02
1.443819427490234375e+02
1.469166107177734375e+02
1.496840057373046875e+02
1.496860046386718750e+02
1.497379913330078125e+02
1.500192871093750000e+02
1.540468750000000000e+02
1.549848022460937500e+02
1.550095062255859375e+02
1.573359832763671875e+02
1.594439697265625000e+02
1.594456481933593750e+02
1.626606140136718750e+02
1.654492797851562500e+02
1.676617889404296875e+02
1.699881744384765625e+02
1.741203002929687500e+02
1.743728637695312500e+02
1.747930908203125000e+02
1.749796752929687500e+02
1.776252288818359375e+02
1.783668670654296875e+02
1.806377716064453125e+02
1.828496093750000000e+02
1.834814758300781250e+02
1.834883422851562500e+02
1.836442413330078125e+02
1.838373565673828125e+02
1.839851837158203125e+02
1.841717681884765625e+02
1.844816741943359375e+02
1.850288085937500000e+02
1.920003356933593750e+02
1.926372985839843750e+02
1.930150146484375000e+02
1.935068206787109375e+02
1.954908752441406250e+02
1.989981384277343750e+02
2.006720886230468750e+02
2.010112304687500000e+02
2.018536071777343750e+02
2.040047607421875000e+02
2.045268554687500000e+02
2.045307769775390625e+02
2.050297241210937500e+02
2.053946533203125000e+02
2.057300872802734375e+02
2.105269622802734375e+02
2.119902801513671875e+02
2.119945068359375000e+02
2.140218658447265625e+02
2.149720764160156250e+02
2.155208129882812500e+02
2.171823272705078125e+02
2.206195831298828125e+02
2.245276184082031250e+02
2.246039581298828125e+02
2.250279541015625000e+02
2.280375366210937500e+02
2.299381713867187500e+02
2.309459075927734375e+02
2.315091247558593750e+02
2.324745178222656250e+02
2.324987487792968750e+02
2.325133361816406250e+02
2.329440612792968750e+02
2.330148925781250000e+02
2.355158843994140625e+02
2.360006866455078125e+02
2.368355865478515625e+02
2.378239593505859375e+02
