dataset,matched_peaks,legacy_msipl_mSCF1,central_ig_mSCF1,uniform_ig_mSCF1,central_l2_mSCF1,uniform_l2_mSCF1,uniform_minus_central_ig,central_ig_minus_tuned_legacy,uniform_ig_minus_tuned_legacy,context_ig_intersection,context_ig_jaccard,context_ig_fraction_shared
GBM108_positive,584,0.40997232204746964,0.508112512098764,0.5325189253887025,0.09999312983863418,0.07279133888668521,0.024406413289938533,0.09814019005129432,0.12254660334123285,478,0.6927536231884058,0.8184931506849316
GBM108_negative,940,0.547761301493713,0.6537179842382652,0.6587761178077036,0.14645434493005915,0.10307352527611166,0.0050581335694384055,0.10595668274455217,0.11101481631399057,808,0.753731343283582,0.8595744680851064
GBM12_1,691,0.2446683586698211,0.29076158270149227,0.2786073205033823,0.26445877597720996,0.340729358892326,-0.012154262198109944,0.04609322403167118,0.03393896183356124,510,0.5848623853211009,0.7380607814761215
GBM12_2,986,0.47753308975405384,0.5693455690624891,0.5953380982902173,0.17296557356408537,0.17195981794817125,0.02599252922772821,0.09181247930843528,0.11780500853616349,709,0.5613618368962787,0.7190669371196755
GBM22_1,834,0.3807384391664672,0.5197817755841339,0.5377242641450929,0.22988506501805422,0.2783179938036614,0.017942488560959036,0.13904333641766664,0.15698582497862568,616,0.5855513307984791,0.7386091127098321
GBM22_2,1028,0.4691431120996832,0.6113759864645252,0.5265884298947764,0.18298929705294278,0.1684151709133742,-0.08478755656974879,0.142232874364842,0.05744531779509321,640,0.4519774011299435,0.622568093385214
GBM39_1,695,0.31481319333136376,0.42075940029495085,0.42911931406681914,0.33872123637012846,0.32183609394370083,0.008359913771868288,0.10594620696358709,0.11430612073545537,464,0.5010799136069114,0.6676258992805756
GBM39_2,911,0.46866927385638385,0.5683505464681188,0.5300361391427059,0.2605415226567787,0.2972945914294148,-0.038314407325412914,0.09968127261173493,0.061366865286322014,676,0.5898778359511344,0.7420417124039517
