rank,bin_index,mz,score,pcc_class_0,pcc_class_1,pcc_class_2
1,516,496.2238464355469,3.06376314163208,0.05107326529419815,-0.028659246504178625,-0.023979575050107494
2,1212,896.5660400390625,2.998593330383301,-0.04352484476506413,-0.012959257017355473,0.060976811177487565
3,1017,784.4366455078125,2.970480442047119,0.03536702717900084,-0.004841783865484664,-0.03287707341119767
4,1393,1000.5979614257812,2.897019624710083,0.03165363999864408,-0.03142243493493241,-4.7305113016120566e-05
5,1258,922.9500732421875,2.7799248695373535,0.042216473076508186,-0.024163554266911795,-0.019306919940511796
6,1178,876.8944702148438,2.774155378341675,0.027353491064630323,-0.01668838960475023,-0.01139041607994387
7,56,231.68109130859375,2.7006125450134277,0.041287381304250755,-0.02212552077457695,-0.020515529244753854
8,208,319.07159423828125,2.689472198486328,0.04137519491538639,-0.030947951359392205,-0.011042345023807397
9,836,680.2650756835938,2.660045623779297,0.03148711377090046,-0.020384277115183615,-0.01183856988755524
10,520,498.5208740234375,2.654578447341919,0.04547834612489096,-0.029000459424300497,-0.017577846906780683
11,1439,1027.029541015625,2.6364824771881104,0.09281335293392151,-0.055325273198206175,-0.04005900996249994
12,619,555.4240112304688,2.6330413818359375,0.012117865735367075,-0.01770202717026823,0.006133857226157342
13,240,337.337646484375,2.632854700088501,-0.2337166332470185,0.3739855240575635,-0.15362252579171037
14,1224,903.4356689453125,2.5963921546936035,0.03660201213565503,-0.01730964774571613,-0.02068717201362046
15,15,208.09364318847656,2.5962822437286377,0.03510972213270888,-0.03409816938629647,-0.0008713738157585144
16,558,520.3599853515625,2.5961151123046875,0.037891842053681166,-0.023976649071208018,-0.014847384493076111
17,330,389.25152587890625,2.5879628658294678,0.018133594759797988,0.002844814164173916,-0.022634368085504453
18,877,703.7200317382812,2.5837221145629883,0.03438579784078268,-0.025447716385823473,-0.009472281219509765
19,305,374.9105529785156,2.569645404815674,0.033632228105301365,-0.008110610029102105,-0.027461832618427346
20,1394,1001.1754760742188,2.5524468421936035,0.02716511393113657,-0.03113008169914569,0.0044745622898939895
21,696,599.7447509765625,2.5509016513824463,0.055012135528743546,-0.03498909491896261,-0.02136126425690791
22,515,495.65057373046875,2.5459580421447754,-0.00033055321433233734,-0.027943348772437173,0.030660688377283838
23,832,677.9468383789062,2.527409076690674,0.03970851058325213,-0.02869301083615899,-0.011691015614860245
24,897,715.5050048828125,2.526463270187378,-0.29810507520105506,0.43997044403532143,-0.155767711256331
25,1392,1000.0093383789062,2.52567720413208,0.05413323109579884,-0.04259273516392408,-0.01216766335833133
26,1140,855.09912109375,2.5237443447113037,0.046272158914270466,-0.025710041579986093,-0.022002059484891624
27,580,533.0393676757812,2.5190958976745605,0.038273482609133186,-0.022107342179560754,-0.017286065611904065
28,590,538.7001342773438,2.5178871154785156,0.05360167810083448,-0.042193484959297284,-0.012027598316082048
29,395,426.6429138183594,2.507471799850464,0.03975664152176051,-0.01939886262382165,-0.02182233073769838
30,892,712.479736328125,2.5065486431121826,-0.021730072825203058,0.018305862083793138,0.0035738711577048706
31,1474,1047.219970703125,2.502774953842163,0.06646099198632795,-0.038736189433274705,-0.029640180685014193
32,1262,925.2604370117188,2.488927125930786,0.04816848491525086,-0.028524105738428368,-0.02099459254226312
33,521,499.23614501953125,2.485661029815674,0.04012289640589733,-0.031079634193792394,-0.009549477105988986
34,1161,867.1755981445312,2.4809389114379883,0.04222015489040127,-0.021558660649077976,-0.022135874754289957
35,701,602.6141967773438,2.476155996322632,0.03319114305109521,-0.021572643465643495,-0.012386850438598093
36,1438,1026.4708251953125,2.4520373344421387,0.07658632918929162,-0.05059258854000147,-0.027697783812966628
37,149,285.2261962890625,2.4442925453186035,0.05436629557867568,-0.0298594383276976,-0.02622807706275706
38,548,514.63818359375,2.434636116027832,0.03180693868959983,-0.02790338435753153,-0.00402895227950129
39,1054,805.5829467773438,2.432002067565918,0.01782355294879573,0.010890327854993682,-0.03102541595654914
40,1202,890.6207885742188,2.4319958686828613,-0.07235524678648668,0.1188473016938482,-0.0508852690790882
41,1319,958.0086669921875,2.4312210083007812,0.023775493696466976,-0.013187661825809525,-0.01132961329076405
42,311,378.3165588378906,2.4300055503845215,0.043096508896936184,-0.023852384200121382,-0.020593116966393304
43,624,558.3355102539062,2.4203991889953613,0.036815869832139386,-0.01751381785711353,-0.02069630367688972
44,713,609.5068969726562,2.418781042098999,0.02108528724580056,-0.02422624383560465,0.003541854528866119
45,815,668.1883544921875,2.4098896980285645,0.03876035372802089,-0.019880328326028443,-0.02022612234072474
46,1324,960.8552856445312,2.403874635696411,0.03138361243505887,-0.021973411262729413,-0.010003585901057873
47,546,513.4517822265625,2.401909351348877,0.054919758969867755,-0.036466028353930875,-0.019659954245758702
48,1267,928.13232421875,2.397094488143921,0.03962855419071424,-0.02854690630048098,-0.01176326660084893
49,369,411.6940612792969,2.3947947025299072,0.05697496770280643,-0.03920599592304994,-0.01890413032588612
50,1105,834.9368896484375,2.3941433429718018,0.028481409808087887,-0.010732545457220886,-0.01906544931117976
