rank,bin_index,mz,score,source_component,pcc_class_0,pcc_class_1,pcc_class_2
1,219,325.1965637207031,1.0,0,0.8844928659229733,-0.6620006956863581,-0.2668863103385337
2,142,281.2252502441406,0.733554704459034,1,-0.5733118345305603,0.42955041315601084,0.17246901316881638
3,194,311.20098876953125,0.7438203645726448,2,0.8782073807384819,-0.6597594157089104,-0.2621583302090438
4,1193,885.5453491210938,0.7479512012093101,0,-0.8444502382512858,0.6091527488110321,0.2811026530383711
5,386,421.3150329589844,0.49401510153373346,1,-0.13443316713489387,-0.15685021568092294,0.3365285897122623
6,146,283.26397705078125,0.4198447713529876,2,0.8510670738930635,-0.6494261439246874,-0.24249682529729175
7,196,312.1776428222656,0.42786356711511747,0,0.8794520158184168,-0.6551062717707412,-0.2689536314966675
8,139,279.2431335449219,0.49095095552534873,1,-0.6858614958697911,0.6052912101860706,0.10124496969614545
9,3,201.0521697998047,0.37900679616845934,2,0.5344619186037505,-0.459724734435691,-0.09263522855059513
10,1195,886.5537719726562,0.36214622586921735,0,-0.843764440766474,0.6107989160716791,0.27841337439553027
11,986,766.5344848632812,0.3834869647682317,1,-0.7392968198792412,0.2627410696212226,0.5571123660527647
12,1024,788.5407104492188,0.3124402352876329,2,-0.7709187421733322,0.505970507875098,0.31426198154464074
13,342,396.15252685546875,0.3321076351331542,0,0.7988518119220916,-0.5676852521251049,-0.27578046631813513
14,948,744.5549926757812,0.38234171143315854,1,-0.7996237023329597,0.6226521084494395,0.2134917013747697
15,243,339.22332763671875,0.2445918931402582,2,0.8771947812798354,-0.6578718097110626,-0.263151434786711
16,97,255.23170471191406,0.28206405146665886,0,0.8428553524040179,-0.6358680993572798,-0.24853926329911116
17,255,346.05828857421875,0.2641449300002139,1,0.2465052764205378,-0.17856086890684414,-0.08120457518310492
18,220,326.15557861328125,0.2121542411883135,2,0.8764961005222213,-0.6555729159269946,-0.26498213119689307
19,366,410.14996337890625,0.2204576966479088,0,0.7778005238199385,-0.5521732119263882,-0.269148159080975
20,318,382.16748046875,0.25508316149118826,1,0.6734516627845599,-0.4623436167659805,-0.2511453014317336
21,944,742.5352783203125,0.21298016647909995,2,-0.7754793906774746,0.6879945720153057,0.11032069610774406
22,909,722.497802734375,0.20221402004064296,0,-0.8582119779215299,0.6138102832775435,0.29174127352293494
23,184,305.24798583984375,0.2230262653849142,1,-0.7301720771332723,0.452344327223005,0.3285547588437987
24,910,722.5620727539062,0.18347487577465643,2,-0.8582225546260867,0.6138155773870845,0.2917474790421941
25,10,205.14059448242188,0.18960851014967733,0,0.47947213722370974,-0.33437448576740764,-0.17282464037253228
26,958,750.538818359375,0.19538503785309985,1,-0.8343044293098456,0.524986940284063,0.3660628782700618
27,873,701.5195922851562,0.14189079196943674,2,-0.7182137679534539,0.4451092894093507,0.3229748170616916
28,172,298.17120361328125,0.12823036844817717,0,0.8680814946746082,-0.6452629123734958,-0.26705509174055325
29,849,687.5468139648438,0.18667612441434472,1,-0.5662849650995538,0.19022276089321935,0.4394162070955072
30,144,282.2447509765625,0.13144564930337152,2,-0.598720481059769,0.4543074710550867,0.17353764421092838
31,222,327.19573974609375,0.11960820090430804,0,0.8448420833300985,-0.627194274776594,-0.2608188305545821
32,960,751.5457763671875,0.1749732614795381,1,-0.8109775562457873,0.5180355686264785,0.34694540104358035
33,950,745.5680541992188,0.14128286105959081,2,-0.7971512756928146,0.6291859403505318,0.2031076804994564
34,147,284.2448425292969,0.12599827268977334,0,0.8290496785621192,-0.6350621640625176,-0.23342207674990204
35,572,528.2803955078125,0.16259114040827546,1,-0.3652853804993375,0.10343701677308202,0.30559616943863077
36,988,767.5421752929688,0.1608185854104417,2,-0.7316405848524236,0.27860216103943863,0.5299823014021885
37,629,561.453857421875,0.14739621812821152,0,0.5447671470483743,-0.3740106855463404,-0.20314142823145648
38,229,331.2506408691406,0.1492474072072721,1,-0.6664931575934081,0.31644168329572664,0.4107767314524164
39,949,745.4932250976562,0.13947437871292512,2,-0.7966107973456062,0.6289249208505848,0.20277963689709275
40,245,340.2137451171875,0.10932698178062583,0,0.859158315018403,-0.6397033846051998,-0.2630762453744428
41,956,749.5223999023438,0.12136508855251114,1,-0.7862098743008742,0.5418062546264261,0.2908377770854111
42,993,770.5570068359375,0.09871995086176456,2,-0.7916809405784336,0.6173229916592079,0.21038733941141124
43,36,220.1432647705078,0.08020728173926901,0,0.5488873188834898,-0.37542305670203846,-0.20630594046917497
44,387,422.30169677734375,0.11969692026930553,1,-0.17371132445285883,-0.12089159997740297,0.3408385633026943
45,1035,794.552490234375,0.08258794243330336,2,-0.7132862284859166,0.2538719833899885,0.5370805899691823
46,198,313.1802978515625,0.07479620826601942,0,0.8522597270369082,-0.6351631236787716,-0.26027851234756144
47,581,533.4851684570312,0.11204693300687613,1,0.42094950631902445,-0.28502390783911435,-0.16154498312182675
48,1026,789.5474853515625,0.0691929446067242,2,-0.7710036240411954,0.5186380406788349,0.29979897598645155
49,955,748.5307006835938,0.07397322018681764,0,-0.8215512333532698,0.5113242179443118,0.36694798015229396
50,251,344.0041198730469,0.10272044141389831,1,-0.006196207833928255,-0.05701518111767237,0.07274102089452356
